gen	nevals	avg     	stddev	min     	max     
0  	50    	0.218369	0     	0.218369	0.218369
1  	44    	0.0470438	0.10548	-0.02   	0.356517
2  	47    	0.0976562	0.116679	-0.016  	0.356517
3  	46    	0.164434 	0.140981	-0.016  	0.514444
4  	44    	0.182008 	0.164004	-0.0171429	0.583187
5  	48    	0.190896 	0.168761	-0.0171428	0.583187
6  	46    	0.17817  	0.18225 	-0.0166667	0.583225
7  	45    	0.292523 	0.193867	-0.02     	0.595139
8  	47    	0.230158 	0.208196	-0.02     	0.594251
9  	48    	0.224473 	0.193277	-0.0199999	0.692703
10 	46    	0.230096 	0.199616	-0.02     	0.703208
11 	46    	0.254081 	0.22331 	-0.0171428	0.702821
12 	47    	0.255879 	0.215366	-0.0171429	0.7028  
13 	43    	0.271453 	0.2262  	-0.0175   	0.703208
14 	46    	0.272021 	0.229444	-0.0174999	0.784711
15 	47    	0.239127 	0.216437	-0.02     	0.784711
16 	45    	0.34393  	0.219265	-0.0166667	0.840021
17 	42    	0.332496 	0.255942	-0.0200001	0.840021
18 	42    	0.355166 	0.274972	-0.0177778	0.840021
19 	45    	0.339998 	0.269181	-0.0171428	0.785501
20 	46    	0.284173 	0.220099	-0.0175   	0.785501
21 	47    	0.286934 	0.206614	-0.0177777	0.812825
22 	45    	0.352151 	0.249223	-0.0166667	0.812977
23 	47    	0.306719 	0.241694	-0.0200001	0.812825
24 	49    	0.21302  	0.208288	-0.0171429	0.812977
25 	48    	0.306121 	0.217871	-0.0171429	0.812977
26 	44    	0.250927 	0.230581	-0.0166667	0.812308
27 	48    	0.22558  	0.206219	-0.0171429	0.812308
28 	46    	0.272004 	0.207388	-0.0171428	0.812977
29 	50    	0.178397 	0.176155	-0.0171429	0.640257
30 	45    	0.278957 	0.209828	-0.0177778	0.811396
31 	45    	0.313265 	0.223803	-0.0177778	0.813756
32 	45    	0.295026 	0.238506	-0.02     	0.813756
33 	48    	0.282838 	0.25621 	-0.0177778	0.813756
34 	46    	0.249326 	0.249675	-0.0171429	0.813756
35 	46    	0.256258 	0.267356	-0.0171429	0.813756
36 	44    	0.261827 	0.289619	-0.0166667	0.813756
37 	45    	0.267931 	0.281883	-0.0171428	0.813756
38 	45    	0.301262 	0.271122	-0.0166667	0.813756
39 	45    	0.293284 	0.273602	-0.0166667	0.813756
40 	45    	0.315766 	0.270141	-0.0166667	0.813708
41 	48    	0.210717 	0.24195 	-0.0171429	0.813756
42 	47    	0.252705 	0.222336	-0.0171429	0.813756
43 	47    	0.313847 	0.228697	-0.02     	0.813756
44 	47    	0.269712 	0.204844	-0.0180001	0.721792
45 	45    	0.301026 	0.250587	-0.02     	0.721792
46 	49    	0.220218 	0.175735	-0.02     	0.721792
47 	48    	0.291828 	0.158002	-0.0166667	0.614153
48 	48    	0.294288 	0.181006	-0.0177778	0.706012
49 	45    	0.308436 	0.204894	-0.0171429	0.729969
50 	48    	0.250725 	0.238565	-0.0171429	0.813756
51 	40    	0.364246 	0.257469	-0.02     	0.813756
52 	47    	0.253439 	0.261515	-0.0171429	0.813756
53 	49    	0.229953 	0.198414	-0.02     	0.729969
54 	46    	0.319136 	0.250832	-0.0175   	0.812308
55 	43    	0.322804 	0.249899	-0.0171428	0.812308
56 	46    	0.290423 	0.235289	-0.0174999	0.812308
57 	47    	0.282318 	0.24997 	-0.0171431	0.812308
58 	46    	0.297163 	0.242534	-0.0171429	0.812308
59 	47    	0.216915 	0.197321	-0.02     	0.812308
60 	49    	0.250873 	0.190809	-0.0175   	0.819334
61 	47    	0.213142 	0.186534	-0.0175   	0.819334
62 	47    	0.257808 	0.177804	-0.0171428	0.819334
63 	42    	0.285552 	0.207269	-0.02     	0.703259
64 	48    	0.261909 	0.151644	-0.0166667	0.703259
65 	46    	0.287163 	0.176904	-0.0175001	0.648585
66 	46    	0.318851 	0.161246	-0.02     	0.752666
67 	44    	0.361857 	0.166109	-0.0175   	0.752666
68 	44    	0.395247 	0.186606	-0.0171428	0.812083
69 	46    	0.335533 	0.225698	-0.0181817	0.812083
70 	47    	0.350378 	0.221867	-0.02     	0.75045 
71 	43    	0.326935 	0.246691	-0.02     	0.812083
72 	45    	0.291893 	0.239666	-0.0171428	0.812083
73 	46    	0.327979 	0.236445	-0.0171429	0.812083
74 	46    	0.319526 	0.230016	-0.0171429	0.813756
75 	44    	0.294361 	0.257444	-0.0183333	0.813756
76 	46    	0.293537 	0.253352	-0.0175   	0.813756
77 	46    	0.277209 	0.270145	-0.0171429	0.813756
78 	47    	0.306777 	0.252362	-0.02     	0.812083
79 	47    	0.233957 	0.205687	-0.0166667	0.812825
80 	42    	0.326069 	0.233964	-0.02     	0.839638
81 	47    	0.325009 	0.224847	-0.0171429	0.812977
82 	44    	0.349416 	0.240884	-0.0171429	0.812977
83 	46    	0.321405 	0.217532	-0.0166667	0.812977
84 	47    	0.303014 	0.250377	-0.0166667	0.812977
85 	47    	0.318217 	0.196399	-0.02     	0.812977
86 	44    	0.349226 	0.250588	-0.0166667	0.812977
87 	44    	0.325281 	0.26369 	-0.0166667	0.83579 
88 	46    	0.280048 	0.230329	-0.02     	0.812825
89 	45    	0.284827 	0.248731	-0.02     	0.812825
90 	45    	0.296401 	0.243267	-0.0166667	0.812825
91 	48    	0.30795  	0.221402	-0.0233333	0.813708
92 	47    	0.284514 	0.2452  	-0.02     	0.812977
