Argument values: path=C:\Users\1625203\Downloads\Framsticks50rc22\Framsticks50rc22, lib=None, sim=eval-allcriteria.sim;deterministic.sim;sample-period-2.sim;f9-mut-040.sim, genformat=None, initialgenotype=/*9*/BLU, opt=vertpos, popsize=50, generations=1000, tournament=10, pmut=0.9, pxov=0.2, hof_size=1, hof_savefile=None, max_numparts=30, max_numjoints=None, max_numneurons=None, max_numconnections=None, max_numgenochars=50
Using Framsticks version: 5.0rc22
Home (writable) dir     : C:\Users\1625203\Downloads\Framsticks50rc22\Framsticks50rc22\data
Resources dir           : C:\Users\1625203\Downloads\Framsticks50rc22\Framsticks50rc22\data

Available objects: ['CheckpointEvent', 'Collision', 'CrCollision', 'Creature', 'CreatureSettings', 'CreatureSignals', 'CreatureSnapshot', 'Dictionary', 'ExpProperties', 'ExpState', 'ExtValue', 'File', 'FunctionReference', 'GenMan', 'GenManStats', 'GenePool', 'GenePools', 'Geno', 'Genotype', 'Interface', 'Joint', 'Loader', 'Math', 'MechJoint', 'MechPart', 'MessageCatcher', 'Model', 'ModelGeometry', 'ModelSymmetry', 'Neuro', 'NeuroClass', 'NeuroClassLibrary', 'NeuroDef', 'NeuroSignals', 'NeuronsSimEnabled', 'ODE', 'Orient', 'Part', 'Population', 'Populations', 'Ref', 'Signal', 'SignalView', 'SimilMeasure', 'SimilMeasureDistribution', 'SimilMeasureGreedy', 'SimilMeasureHungarian', 'Simulator', 'SlaveSimulators', 'StopEvent', 'String', 'UserScripts', 'Vector', 'WireframeAppearance', 'World', 'WorldMap', 'WorldSignals', 'XYZ', '__builtins__', '__cached__', '__doc__', '__file__', '__loader__', '__name__', '__package__', '__spec__', 'c_api', 'ctypes', 'home_dir', 'init', 'os', 're', 'res_dir', 'sim_params', 'stats', 'sys']

Performing a basic test 1/2... OK.
Performing a basic test 2/2... OK.
Using settings: ['eval-allcriteria.sim', 'deterministic.sim', 'sample-period-2.sim', 'f9-mut-040.sim']
gen	nevals	avg     	stddev	min     	max     
0  	50    	0.218369	0     	0.218369	0.218369
1  	49    	0.037984	0.100871	-0.016  	0.356517
2  	47    	0.108868	0.110239	-0.0166652	0.356513
3  	48    	0.118073	0.141611	-0.0166667	0.428397
4  	48    	0.120119	0.164425	-0.0166667	0.693195
5  	48    	0.198398	0.205745	-0.0171428	0.810192
6  	50    	0.194547	0.150057	-0.0171429	0.617701
7  	46    	0.1908  	0.190446	-0.02     	0.617701
8  	47    	0.175765	0.163116	-0.0166668	0.617701
9  	42    	0.220083	0.16443 	-0.0171429	0.617701
10 	45    	0.238329	0.183057	-0.02     	0.617701
11 	48    	0.203054	0.162199	-0.02     	0.617701
12 	50    	0.213525	0.157654	-0.02     	0.582693
13 	45    	0.243583	0.159019	-0.02     	0.543787
14 	47    	0.260954	0.175657	-0.02     	0.805282
15 	48    	0.227371	0.13125 	-0.02     	0.521744
16 	44    	0.249789	0.132128	-0.02     	0.497516
17 	46    	0.240282	0.142369	-0.0177778	0.515787
18 	47    	0.198067	0.157593	-0.02     	0.583189
19 	45    	0.243551	0.163653	-0.0171429	0.520555
20 	44    	0.236768	0.167039	-0.02     	0.515787
21 	47    	0.216867	0.136089	-0.0166668	0.559962
22 	45    	0.242611	0.178741	-0.0171429	0.703179
23 	47    	0.23117 	0.164092	-0.02     	0.515503
24 	45    	0.256772	0.147963	-0.0166666	0.515996
25 	46    	0.207717	0.162562	-0.02     	0.567924
26 	45    	0.224957	0.163883	-0.018    	0.705972
27 	45    	0.218083	0.138432	-0.0166666	0.515996
28 	44    	0.266107	0.154873	-0.0199999	0.654276
29 	46    	0.234345	0.129815	-0.0175001	0.654276
30 	46    	0.261725	0.132133	-0.0166667	0.519007
31 	46    	0.260522	0.130468	-0.0150001	0.519007
32 	47    	0.232729	0.112669	-0.0166667	0.515986
33 	49    	0.235298	0.103491	-0.016    	0.457947
34 	49    	0.236233	0.087846	-0.0177778	0.457947
35 	48    	0.241966	0.088937	-0.0171429	0.399463
