gen	nevals	avg     	stddev	min     	max     
0  	50    	0.218369	0     	0.218369	0.218369
1  	47    	0.03774 	0.09321	-0.016  	0.223445
2  	47    	0.0699599	0.113683	-0.0171429	0.307007
3  	46    	0.109503 	0.151598	-0.02     	0.671465
4  	48    	0.164376 	0.136006	-0.02     	0.495273
5  	44    	0.217525 	0.13778 	-0.0166667	0.559543
6  	45    	0.249364 	0.137845	-0.018    	0.49321 
7  	45    	0.274719 	0.118232	-0.0171428	0.514108
8  	47    	0.286769 	0.124277	-0.0181818	0.514108
9  	47    	0.26982  	0.116554	0.0929405 	0.514108
10 	49    	0.281732 	0.115997	0.0915411 	0.627664
11 	46    	0.239168 	0.151789	-0.0225   	0.627664
12 	46    	0.251839 	0.13472 	-0.02     	0.58104 
13 	46    	0.297576 	0.118404	-0.0171429	0.58104 
14 	44    	0.298238 	0.133849	-0.02     	0.597669
15 	46    	0.307101 	0.144351	-0.0175   	0.597669
16 	46    	0.324502 	0.140835	0.0840962 	0.633357
17 	46    	0.283588 	0.154087	-0.0171431	0.675131
18 	45    	0.292329 	0.161608	-0.02     	0.675131
19 	47    	0.252872 	0.163271	-0.0222222	0.629022
20 	46    	0.315653 	0.158159	-0.0166665	0.674521
21 	49    	0.284813 	0.152113	-0.0149997	0.683258
22 	49    	0.295459 	0.135164	-0.0166667	0.59629 
23 	48    	0.317149 	0.101375	0.139497  	0.629976
24 	45    	0.266122 	0.140893	-0.02     	0.592623
25 	44    	0.298115 	0.124113	0.0816191 	0.592623
26 	43    	0.289855 	0.217908	-1        	0.592623
27 	45    	0.311712 	0.126118	0.0626528 	0.552841
28 	47    	0.292607 	0.122391	0.0641922 	0.552841
29 	47    	0.273118 	0.220961	-1        	0.553711
30 	48    	0.281121 	0.0947197	0.078093  	0.55025 
31 	46    	0.33629  	0.100584 	0.129006  	0.623396
32 	45    	0.322499 	0.1502   	-0.0133332	0.665707
33 	48    	0.291086 	0.14255  	-0.0175   	0.651242
34 	46    	0.276369 	0.137523 	-0.0133334	0.651242
