gen	nevals	avg     	stddev	min     	max     
0  	50    	0.218369	0     	0.218369	0.218369
1  	48    	0.0528998	0.0986959	-0.016  	0.23453 
2  	48    	0.0805164	0.110919 	-0.016  	0.310134
3  	47    	0.149986 	0.132862 	-0.016  	0.514444
4  	47    	0.174896 	0.164492 	-0.0199999	0.515755
5  	46    	0.190609 	0.192137 	-0.02     	0.812083
6  	48    	0.175668 	0.168368 	-0.02     	0.515876
7  	40    	0.206148 	0.175358 	-0.0171429	0.515876
8  	47    	0.198472 	0.155565 	-0.02     	0.516256
9  	44    	0.210292 	0.175082 	-0.0166667	0.516256
10 	42    	0.259529 	0.194694 	-0.0171428	0.811247
11 	47    	0.231862 	0.159417 	-0.02     	0.595058
12 	47    	0.25095  	0.171491 	-0.0171429	0.595058
13 	44    	0.256871 	0.200295 	-0.0166667	0.770944
14 	45    	0.249907 	0.168456 	-0.02     	0.615233
15 	46    	0.257642 	0.16946  	-0.0171428	0.61351 
16 	49    	0.262185 	0.167764 	-0.02     	0.649723
17 	43    	0.292167 	0.17356  	-0.0177778	0.650536
18 	41    	0.324106 	0.178293 	-0.0166664	0.649723
19 	48    	0.269652 	0.198979 	-0.02     	0.705591
20 	46    	0.292959 	0.203828 	-0.0175   	0.705591
21 	47    	0.294363 	0.180115 	-0.0175   	0.705591
22 	47    	0.282493 	0.19276  	-0.0200001	0.784713
23 	46    	0.331119 	0.196143 	-0.0171429	0.831993
24 	46    	0.326951 	0.222    	-0.0166667	0.812083
25 	46    	0.303507 	0.184654 	-0.02     	0.812083
26 	47    	0.268531 	0.192285 	-0.0177777	0.812083
27 	45    	0.27404  	0.171079 	-0.02     	0.812083
28 	46    	0.273705 	0.165694 	-0.0199999	0.812083
29 	45    	0.294955 	0.161937 	-0.0166666	0.812308
30 	47    	0.275179 	0.161166 	-0.0175   	0.812308
31 	50    	0.251869 	0.136948 	-0.02     	0.703019
32 	46    	0.311323 	0.148862 	-0.0166667	0.722326
33 	45    	0.304493 	0.19306  	-0.0175   	0.722326
34 	49    	0.258088 	0.182801 	-0.0177778	0.733048
35 	44    	0.30044  	0.183642 	-0.0228571	0.733048
36 	47    	0.241612 	0.224062 	-0.02     	0.831993
37 	47    	0.258486 	0.221078 	-0.02     	0.812308
38 	46    	0.25668  	0.211041 	-0.0171429	0.726987
39 	48    	0.255775 	0.211921 	-0.0166667	0.72962 
40 	48    	0.228615 	0.199856 	-0.0199999	0.72962 
41 	49    	0.260515 	0.164771 	-0.02     	0.705828
42 	49    	0.246521 	0.155043 	-0.0171429	0.805021
43 	47    	0.241501 	0.154303 	-0.02     	0.805021
44 	45    	0.282085 	0.143445 	-0.0175   	0.616459
45 	47    	0.256481 	0.174003 	-0.0175   	0.645254
46 	49    	0.306478 	0.165854 	-0.0171429	0.804176
47 	47    	0.253771 	0.1433   	-0.0150001	0.804176
48 	45    	0.237629 	0.16172  	-0.02     	0.804176
49 	47    	0.249786 	0.169588 	-0.0177778	0.804176
50 	44    	0.28907  	0.173202 	-0.0175   	0.804176
51 	48    	0.272912 	0.171265 	-0.0166668	0.697561
52 	46    	0.252195 	0.184298 	-0.0175   	0.697561
53 	47    	0.270437 	0.212341 	-0.02     	0.694416
54 	47    	0.217242 	0.215656 	-0.02     	0.704883
55 	45    	0.277601 	0.252268 	-0.0171429	0.812977
56 	46    	0.273032 	0.223602 	-0.0171428	0.812977
57 	46    	0.299019 	0.246278 	-0.02     	0.81995 
58 	46    	0.278941 	0.241338 	-0.0171428	0.813708
59 	46    	0.282149 	0.2524   	-0.0171427	0.813756
60 	46    	0.213829 	0.239414 	-0.02     	0.813708
61 	42    	0.308805 	0.26991  	-0.02     	0.813708
62 	46    	0.199454 	0.23709  	-0.0166667	0.813708
63 	45    	0.25329  	0.213636 	-0.0166666	0.813708
64 	45    	0.248879 	0.220831 	-0.0160001	0.811396
65 	46    	0.210118 	0.198387 	-0.02     	0.811396
66 	44    	0.265362 	0.25171  	-0.02     	0.812977
67 	45    	0.245755 	0.210542 	-0.0166667	0.812977
68 	49    	0.202999 	0.20278  	-0.0171429	0.811396
69 	46    	0.264508 	0.236536 	-0.02     	0.813756
70 	48    	0.184734 	0.227213 	-0.02     	0.812825
71 	46    	0.217622 	0.245303 	-0.0166667	0.812977
72 	48    	0.188094 	0.214717 	-0.02     	0.812977
73 	44    	0.260199 	0.258398 	-0.0166667	0.812977
74 	47    	0.23338  	0.2477   	-0.0171429	0.813708
75 	48    	0.175302 	0.212062 	-0.02     	0.813708
76 	49    	0.17176  	0.221437 	-0.0166667	0.811247
77 	48    	0.210829 	0.213591 	-0.0166667	0.813708
78 	48    	0.217508 	0.202451 	-0.02     	0.813708
79 	49    	0.234427 	0.162106 	-0.0166666	0.705837
80 	47    	0.216014 	0.191746 	-0.02     	0.812977
81 	44    	0.214927 	0.227941 	-0.02     	0.813708
82 	45    	0.236814 	0.201324 	-0.0160001	0.811396
83 	45    	0.226249 	0.180535 	-0.0166667	0.705857
84 	44    	0.272256 	0.208192 	-0.0166667	0.706014
85 	49    	0.29076  	0.24388  	-0.016    	0.812825
86 	45    	0.282148 	0.216653 	-0.0166667	0.811396
87 	48    	0.211082 	0.195402 	-0.02     	0.811396
88 	46    	0.242046 	0.199248 	-0.0166667	0.811396
89 	44    	0.242842 	0.21885  	-0.0166667	0.811396
90 	46    	0.220683 	0.219719 	-0.0166667	0.811396
91 	44    	0.262799 	0.243403 	-0.0166667	0.811396
92 	44    	0.255933 	0.240231 	-0.0171429	0.812083
93 	46    	0.254429 	0.229436 	-0.0171428	0.812083
94 	48    	0.280074 	0.239098 	-0.0171427	0.813756
95 	44    	0.266428 	0.255593 	-0.02     	0.813756
96 	47    	0.210228 	0.252915 	-0.02     	0.813756
97 	45    	0.287157 	0.287086 	-0.0171429	0.813756
98 	45    	0.300446 	0.290055 	-0.0166667	0.813756
99 	46    	0.253786 	0.215146 	-0.02     	0.813756
100	46    	0.265716 	0.242028 	-0.0171429	0.813756
101	46    	0.273568 	0.267596 	-0.02     	0.813756
102	48    	0.209583 	0.237485 	-0.02     	0.813708
103	42    	0.312921 	0.245022 	-0.0174999	0.813708
104	47    	0.268691 	0.246006 	-0.02     	0.812825
105	45    	0.26781  	0.252779 	-0.0171429	0.812825
106	46    	0.300711 	0.245164 	-0.0166667	0.812825
107	47    	0.290846 	0.186975 	-0.02     	0.812825
108	48    	0.270956 	0.195856 	-0.0166667	0.812083
109	44    	0.270868 	0.218165 	-0.0171429	0.812083
110	41    	0.373807 	0.268608 	-0.0181818	0.813708
111	43    	0.27052  	0.288603 	-0.02     	0.813708
112	45    	0.249441 	0.247602 	-0.0166667	0.813708
113	47    	0.242769 	0.219259 	-0.0175   	0.813708
114	50    	0.200299 	0.204854 	-0.0171429	0.811247
115	48    	0.231382 	0.184081 	-0.0166667	0.811247
116	45    	0.222092 	0.20113  	-0.0171429	0.811247
117	44    	0.257319 	0.182413 	-0.0166667	0.581352
118	43    	0.268675 	0.206737 	-0.0160001	0.813708
119	49    	0.15104  	0.184546 	-0.02     	0.581279
120	45    	0.212833 	0.207801 	-0.0171429	0.704133
121	45    	0.213631 	0.197833 	-0.02     	0.704133
122	50    	0.209418 	0.155842 	-0.0166667	0.581368
123	46    	0.228516 	0.161955 	-0.02     	0.645873
124	47    	0.229375 	0.162079 	-0.02     	0.58128 
125	42    	0.282224 	0.193276 	-0.02     	0.63457 
126	47    	0.253952 	0.181223 	-0.0175   	0.581352
127	45    	0.214036 	0.228415 	-0.0199999	0.649805
128	43    	0.310496 	0.199036 	-0.0166667	0.702382
129	46    	0.260464 	0.198707 	-0.0166668	0.702687
130	48    	0.273388 	0.188602 	-0.02     	0.702687
131	48    	0.260736 	0.202395 	-0.0171429	0.750381
132	47    	0.272606 	0.187605 	-0.02     	0.615046
133	45    	0.275732 	0.172206 	-0.0175   	0.706637
134	46    	0.27296  	0.190588 	-0.02     	0.730197
135	45    	0.307057 	0.188431 	-0.0171427	0.706637
136	46    	0.251938 	0.17579  	-0.0175   	0.706637
137	43    	0.307931 	0.212019 	-0.02     	0.706637
138	48    	0.205745 	0.162277 	-0.02     	0.706637
139	47    	0.286389 	0.177313 	-0.0166668	0.643469
140	46    	0.2685   	0.173493 	-0.0175001	0.643469
141	45    	0.262463 	0.193571 	-0.02     	0.644785
142	48    	0.238274 	0.20028  	-0.0175   	0.643617
143	45    	0.272298 	0.185012 	-0.02     	0.72197 
144	47    	0.277579 	0.202529 	-0.02     	0.800245
145	46    	0.25952  	0.197329 	-0.0200001	0.800245
146	49    	0.255592 	0.206348 	-0.0175   	0.800245
147	45    	0.224285 	0.198903 	-0.0200001	0.706419
148	44    	0.2733   	0.200994 	-0.02     	0.706419
149	48    	0.294352 	0.175097 	-0.0177778	0.706285
150	48    	0.260028 	0.155605 	-0.0171428	0.594251
151	44    	0.2589   	0.177413 	-0.0166667	0.615231
152	49    	0.215854 	0.180707 	-0.0171429	0.706285
153	47    	0.186281 	0.160623 	-0.02     	0.706285
154	46    	0.208987 	0.170335 	-0.02     	0.706285
155	46    	0.20932  	0.168698 	-0.017143 	0.706285
156	45    	0.23414  	0.186993 	-0.02     	0.706285
157	46    	0.261257 	0.202436 	-0.0177778	0.731023
158	47    	0.23373  	0.223539 	-0.0174999	0.731023
159	45    	0.259466 	0.201275 	-0.0171429	0.730432
160	43    	0.29103  	0.200629 	-0.02     	0.706575
161	47    	0.214766 	0.186291 	-0.0175   	0.706575
162	47    	0.237261 	0.170296 	-0.02     	0.706575
163	46    	0.242578 	0.220563 	-0.02     	0.706575
164	50    	0.271002 	0.186475 	-0.0175   	0.702821
165	44    	0.238981 	0.212909 	-0.0171429	0.706666
166	44    	0.313499 	0.224904 	-0.0175   	0.731317
167	46    	0.283857 	0.189058 	-0.01     	0.731317
168	46    	0.254483 	0.177513 	-0.0171429	0.731317
169	46    	0.228939 	0.178481 	-0.0175   	0.726528
170	45    	0.252281 	0.19929  	-0.0175   	0.706666
171	43    	0.342407 	0.22456  	-0.0175   	0.737715
172	45    	0.291989 	0.208564 	-0.016    	0.752847
173	50    	0.239489 	0.147377 	-0.0181818	0.754861
