gen	nevals	avg     	stddev	min     	max     
0  	50    	0.218369	0     	0.218369	0.218369
1  	48    	0.0526396	0.0988421	-0.0160001	0.233503
2  	45    	0.0913478	0.120586 	-0.02     	0.354154
3  	44    	0.194861 	0.133853 	-0.0166667	0.515522
4  	46    	0.183398 	0.14455  	-0.02     	0.515503
5  	43    	0.214749 	0.144747 	-0.02     	0.654207
6  	45    	0.172998 	0.177323 	-0.02     	0.654207
7  	46    	0.181752 	0.192526 	-0.02     	0.705972
8  	47    	0.180872 	0.134716 	-0.02     	0.654207
9  	48    	0.169308 	0.13429  	-0.02     	0.487006
10 	46    	0.18892  	0.136313 	-0.0166667	0.433242
11 	47    	0.21812  	0.120657 	-0.02     	0.433131
12 	47    	0.234854 	0.084806 	0.0823005 	0.504115
13 	48    	0.240988 	0.115429 	-0.0177778	0.504115
14 	47    	0.226322 	0.111139 	-0.02     	0.489245
15 	47    	0.261786 	0.134902 	-0.0177778	0.513532
16 	46    	0.27188  	0.130051 	-0.015    	0.513532
17 	44    	0.221292 	0.155669 	-0.02     	0.513532
18 	46    	0.195691 	0.149665 	-0.02     	0.573899
19 	47    	0.215294 	0.13659  	-0.02     	0.573899
20 	44    	0.264853 	0.136875 	-0.02     	0.615587
21 	45    	0.253418 	0.153347 	-0.0175   	0.59515 
22 	45    	0.262945 	0.154661 	-0.0177778	0.650465
23 	43    	0.206654 	0.182332 	-0.0166666	0.650465
24 	45    	0.248768 	0.148655 	-0.02     	0.650465
25 	48    	0.212106 	0.15727  	-0.02     	0.69353 
26 	46    	0.229707 	0.161471 	-0.0175   	0.69353 
27 	44    	0.223952 	0.171156 	-0.02     	0.69353 
28 	47    	0.226658 	0.171275 	-0.0200001	0.69353 
29 	47    	0.240754 	0.152758 	-0.0175   	0.560209
30 	43    	0.23016  	0.149864 	-0.02     	0.560209
31 	47    	0.207716 	0.128758 	-0.0177778	0.560209
32 	48    	0.267848 	0.149273 	-0.0171429	0.582956
33 	46    	0.219149 	0.167576 	-0.0171428	0.582956
34 	46    	0.180598 	0.175857 	-0.0181818	0.582956
35 	44    	0.217131 	0.146576 	-0.018    	0.582956
36 	46    	0.213728 	0.165915 	-0.02     	0.690513
37 	48    	0.161422 	0.185735 	-0.02     	0.690513
38 	47    	0.196832 	0.178489 	-0.02     	0.690513
39 	43    	0.199041 	0.194191 	-0.02     	0.690513
40 	44    	0.23998  	0.171964 	-0.0199999	0.553681
41 	44    	0.235339 	0.189718 	-0.02     	0.705984
42 	48    	0.235225 	0.178828 	-0.0175   	0.812977
43 	50    	0.207902 	0.146904 	-0.0200001	0.52069 
44 	45    	0.223059 	0.12676  	-0.02     	0.505718
45 	47    	0.213942 	0.144556 	-0.0171429	0.505718
46 	48    	0.248082 	0.147776 	-0.02     	0.706539
47 	48    	0.217913 	0.131869 	-0.0171428	0.560071
48 	49    	0.232089 	0.153175 	-0.016    	0.812977
49 	45    	0.242656 	0.140037 	-0.0166667	0.812977
50 	48    	0.227687 	0.154076 	-0.0177778	0.549383
51 	46    	0.230639 	0.132587 	-0.0166668	0.549383
52 	44    	0.264788 	0.136718 	-0.0171428	0.549383
53 	47    	0.250292 	0.13708  	-0.02     	0.614416
54 	49    	0.254625 	0.151856 	-0.0171428	0.812977
55 	44    	0.237018 	0.165746 	-0.0189474	0.812977
56 	45    	0.270009 	0.132171 	-0.0175   	0.539474
57 	46    	0.289661 	0.104861 	0.0441409 	0.539474
58 	46    	0.271397 	0.111554 	-0.0171429	0.539474
59 	48    	0.307656 	0.109734 	0.057409  	0.539474
60 	47    	0.291179 	0.118904 	-0.0184615	0.615542
61 	47    	0.285582 	0.119213 	-0.0150002	0.615542
62 	47    	0.273535 	0.10552  	-0.0166666	0.615542
63 	45    	0.306376 	0.110747 	0.0965953 	0.615542
64 	47    	0.319424 	0.120267 	0.0697757 	0.615542
65 	47    	0.275134 	0.133072 	-0.0199999	0.651028
66 	47    	0.274479 	0.0903305	0.0592092 	0.468352
67 	47    	0.223287 	0.327153 	-1        	0.639503
68 	44    	0.252781 	0.268159 	-1        	0.50538 
69 	44    	0.252723 	0.276662 	-1        	0.572659
70 	46    	0.249579 	0.331612 	-1        	0.572659
71 	47    	0.115521 	0.493096 	-1        	0.572659
