Argument values: path=C:\Users\1625203\Downloads\Framsticks50rc22\Framsticks50rc22, lib=None, sim=eval-allcriteria.sim;deterministic.sim;sample-period-2.sim;f9-mut-010.sim, genformat=None, initialgenotype=/*9*/BLU, opt=vertpos, popsize=50, generations=1000, tournament=10, pmut=0.9, pxov=0.2, hof_size=1, hof_savefile=None, max_numparts=30, max_numjoints=None, max_numneurons=None, max_numconnections=None, max_numgenochars=50
Using Framsticks version: 5.0rc22
Home (writable) dir     : C:\Users\1625203\Downloads\Framsticks50rc22\Framsticks50rc22\data
Resources dir           : C:\Users\1625203\Downloads\Framsticks50rc22\Framsticks50rc22\data

Available objects: ['CheckpointEvent', 'Collision', 'CrCollision', 'Creature', 'CreatureSettings', 'CreatureSignals', 'CreatureSnapshot', 'Dictionary', 'ExpProperties', 'ExpState', 'ExtValue', 'File', 'FunctionReference', 'GenMan', 'GenManStats', 'GenePool', 'GenePools', 'Geno', 'Genotype', 'Interface', 'Joint', 'Loader', 'Math', 'MechJoint', 'MechPart', 'MessageCatcher', 'Model', 'ModelGeometry', 'ModelSymmetry', 'Neuro', 'NeuroClass', 'NeuroClassLibrary', 'NeuroDef', 'NeuroSignals', 'NeuronsSimEnabled', 'ODE', 'Orient', 'Part', 'Population', 'Populations', 'Ref', 'Signal', 'SignalView', 'SimilMeasure', 'SimilMeasureDistribution', 'SimilMeasureGreedy', 'SimilMeasureHungarian', 'Simulator', 'SlaveSimulators', 'StopEvent', 'String', 'UserScripts', 'Vector', 'WireframeAppearance', 'World', 'WorldMap', 'WorldSignals', 'XYZ', '__builtins__', '__cached__', '__doc__', '__file__', '__loader__', '__name__', '__package__', '__spec__', 'c_api', 'ctypes', 'home_dir', 'init', 'os', 're', 'res_dir', 'sim_params', 'stats', 'sys']

Performing a basic test 1/2... OK.
Performing a basic test 2/2... OK.
Using settings: ['eval-allcriteria.sim', 'deterministic.sim', 'sample-period-2.sim', 'f9-mut-010.sim']
gen	nevals	avg     	stddev	min     	max     
0  	50    	0.218369	0     	0.218369	0.218369
1  	46    	0.0704851	0.111341	-0.0159999	0.356517
2  	48    	0.109792 	0.135895	-0.02     	0.414587
3  	46    	0.143872 	0.148204	-0.0171428	0.515856
4  	45    	0.235987 	0.124921	-0.0166667	0.515749
5  	47    	0.180735 	0.150252	-0.02     	0.49649 
6  	48    	0.261991 	0.146847	-0.02     	0.706419
7  	46    	0.321347 	0.173456	-0.0174999	0.706419
8  	47    	0.324534 	0.207857	-0.02     	0.706419
9  	45    	0.375307 	0.23625 	-0.0200001	0.706419
10 	48    	0.286629 	0.215133	-0.0166667	0.706419
11 	46    	0.309128 	0.260698	-0.02     	0.830908
12 	44    	0.343681 	0.256607	-0.02     	0.830908
13 	44    	0.361585 	0.253836	-0.02     	0.73105 
14 	44    	0.338301 	0.249622	-0.0171428	0.73105 
15 	47    	0.297823 	0.262801	-0.0175   	0.73105 
16 	47    	0.334452 	0.261287	-0.0174999	0.830908
17 	48    	0.252744 	0.209983	-0.0171429	0.790588
18 	45    	0.316094 	0.248955	-0.02     	0.790588
19 	45    	0.351681 	0.209138	-0.0175   	0.725831
20 	46    	0.326492 	0.241384	-0.0175   	0.731304
21 	47    	0.324084 	0.234332	-0.0175   	0.731304
22 	44    	0.336793 	0.25784 	-0.0175   	0.731304
23 	41    	0.366608 	0.26133 	-0.0175   	0.731304
24 	45    	0.322098 	0.244902	-0.0175   	0.731304
25 	45    	0.316788 	0.236061	-0.0200001	0.731304
26 	48    	0.313581 	0.234259	-0.0175   	0.731304
27 	46    	0.3235   	0.234109	-0.02     	0.706107
28 	42    	0.353038 	0.238692	-0.0174985	0.706515
29 	46    	0.340524 	0.242366	-0.0171429	0.706515
30 	47    	0.333709 	0.241243	-0.02     	0.706515
31 	45    	0.314304 	0.236102	-0.0171429	0.706515
32 	45    	0.311917 	0.228535	-0.02     	0.706515
33 	48    	0.326074 	0.26376 	-0.02     	0.70647 
34 	47    	0.318564 	0.234184	-0.0171428	0.706107
