Argument values: path=C:\Users\1625203\Downloads\Framsticks50rc22\Framsticks50rc22, lib=None, sim=eval-allcriteria.sim;deterministic.sim;sample-period-2.sim;f9-mut-020.sim, genformat=None, initialgenotype=/*9*/BLU, opt=vertpos, popsize=50, generations=1000, tournament=10, pmut=0.9, pxov=0.2, hof_size=1, hof_savefile=None, max_numparts=30, max_numjoints=None, max_numneurons=None, max_numconnections=None, max_numgenochars=50
Using Framsticks version: 5.0rc22
Home (writable) dir     : C:\Users\1625203\Downloads\Framsticks50rc22\Framsticks50rc22\data
Resources dir           : C:\Users\1625203\Downloads\Framsticks50rc22\Framsticks50rc22\data

Available objects: ['CheckpointEvent', 'Collision', 'CrCollision', 'Creature', 'CreatureSettings', 'CreatureSignals', 'CreatureSnapshot', 'Dictionary', 'ExpProperties', 'ExpState', 'ExtValue', 'File', 'FunctionReference', 'GenMan', 'GenManStats', 'GenePool', 'GenePools', 'Geno', 'Genotype', 'Interface', 'Joint', 'Loader', 'Math', 'MechJoint', 'MechPart', 'MessageCatcher', 'Model', 'ModelGeometry', 'ModelSymmetry', 'Neuro', 'NeuroClass', 'NeuroClassLibrary', 'NeuroDef', 'NeuroSignals', 'NeuronsSimEnabled', 'ODE', 'Orient', 'Part', 'Population', 'Populations', 'Ref', 'Signal', 'SignalView', 'SimilMeasure', 'SimilMeasureDistribution', 'SimilMeasureGreedy', 'SimilMeasureHungarian', 'Simulator', 'SlaveSimulators', 'StopEvent', 'String', 'UserScripts', 'Vector', 'WireframeAppearance', 'World', 'WorldMap', 'WorldSignals', 'XYZ', '__builtins__', '__cached__', '__doc__', '__file__', '__loader__', '__name__', '__package__', '__spec__', 'c_api', 'ctypes', 'home_dir', 'init', 'os', 're', 'res_dir', 'sim_params', 'stats', 'sys']

Performing a basic test 1/2... OK.
Performing a basic test 2/2... OK.
Using settings: ['eval-allcriteria.sim', 'deterministic.sim', 'sample-period-2.sim', 'f9-mut-020.sim']
gen	nevals	avg     	stddev	min     	max     
0  	50    	0.218369	0     	0.218369	0.218369
1  	47    	0.0513207	0.100929	-0.016  	0.299401
2  	48    	0.0828982	0.141368	-0.02   	0.515766
3  	44    	0.138077 	0.145829	-0.0175 	0.515766
4  	47    	0.191226 	0.153444	-0.02   	0.58128 
5  	48    	0.162572 	0.172755	-0.0160001	0.58128 
6  	45    	0.220257 	0.194033	-0.0171428	0.58128 
7  	43    	0.266208 	0.195316	-0.0166667	0.58128 
8  	48    	0.227657 	0.191471	-0.0171429	0.581352
9  	47    	0.229639 	0.201856	-0.0171428	0.654898
10 	46    	0.284375 	0.21789 	-0.02     	0.654898
11 	47    	0.233841 	0.173856	-0.02     	0.650515
12 	46    	0.302188 	0.208277	-0.02     	0.790588
13 	45    	0.317974 	0.214602	-0.0166666	0.817075
14 	45    	0.323691 	0.224606	-0.02     	0.817075
15 	49    	0.231839 	0.190014	-0.0175   	0.653515
16 	48    	0.27322  	0.167953	-0.0177777	0.59936 
17 	42    	0.261339 	0.197834	-0.0199999	0.59936 
18 	40    	0.305617 	0.187573	-0.018    	0.59936 
19 	47    	0.265962 	0.214828	-0.0171429	0.63637 
20 	43    	0.342463 	0.207365	-0.0199999	0.723945
21 	48    	0.299374 	0.202305	-0.02     	0.835201
22 	49    	0.259239 	0.178899	-0.02     	0.717789
23 	48    	0.275827 	0.176297	-0.0175   	0.71512 
24 	47    	0.28677  	0.195308	-0.0166666	0.583947
25 	48    	0.269743 	0.177615	-0.0166667	0.592146
26 	47    	0.257788 	0.189895	-0.0177777	0.646698
27 	43    	0.260123 	0.199361	-0.02     	0.720116
28 	49    	0.295084 	0.20556 	-0.0233333	0.720116
29 	45    	0.271073 	0.221689	-0.02     	0.749984
30 	48    	0.289115 	0.192028	-0.02     	0.701948
31 	44    	0.363203 	0.185673	-0.02     	0.72183 
32 	46    	0.331731 	0.180287	-0.0177777	0.64671 
33 	42    	0.33143  	0.232341	-0.0177778	0.817693
