Argument values: path=C:\Users\1625203\Downloads\Framsticks50rc22\Framsticks50rc22, lib=None, sim=eval-allcriteria.sim;deterministic.sim;sample-period-2.sim;f9-mut-040.sim, genformat=None, initialgenotype=/*9*/BLU, opt=vertpos, popsize=50, generations=1000, tournament=10, pmut=0.9, pxov=0.2, hof_size=1, hof_savefile=None, max_numparts=30, max_numjoints=None, max_numneurons=None, max_numconnections=None, max_numgenochars=50
Using Framsticks version: 5.0rc22
Home (writable) dir     : C:\Users\1625203\Downloads\Framsticks50rc22\Framsticks50rc22\data
Resources dir           : C:\Users\1625203\Downloads\Framsticks50rc22\Framsticks50rc22\data

Available objects: ['CheckpointEvent', 'Collision', 'CrCollision', 'Creature', 'CreatureSettings', 'CreatureSignals', 'CreatureSnapshot', 'Dictionary', 'ExpProperties', 'ExpState', 'ExtValue', 'File', 'FunctionReference', 'GenMan', 'GenManStats', 'GenePool', 'GenePools', 'Geno', 'Genotype', 'Interface', 'Joint', 'Loader', 'Math', 'MechJoint', 'MechPart', 'MessageCatcher', 'Model', 'ModelGeometry', 'ModelSymmetry', 'Neuro', 'NeuroClass', 'NeuroClassLibrary', 'NeuroDef', 'NeuroSignals', 'NeuronsSimEnabled', 'ODE', 'Orient', 'Part', 'Population', 'Populations', 'Ref', 'Signal', 'SignalView', 'SimilMeasure', 'SimilMeasureDistribution', 'SimilMeasureGreedy', 'SimilMeasureHungarian', 'Simulator', 'SlaveSimulators', 'StopEvent', 'String', 'UserScripts', 'Vector', 'WireframeAppearance', 'World', 'WorldMap', 'WorldSignals', 'XYZ', '__builtins__', '__cached__', '__doc__', '__file__', '__loader__', '__name__', '__package__', '__spec__', 'c_api', 'ctypes', 'home_dir', 'init', 'os', 're', 'res_dir', 'sim_params', 'stats', 'sys']

Performing a basic test 1/2... OK.
Performing a basic test 2/2... OK.
Using settings: ['eval-allcriteria.sim', 'deterministic.sim', 'sample-period-2.sim', 'f9-mut-040.sim']
gen	nevals	avg     	stddev	min     	max     
0  	50    	0.218369	0     	0.218369	0.218369
1  	49    	0.0372504	0.0986703	-0.0166667	0.356517
2  	47    	0.0934745	0.132185 	-0.0166667	0.515856
3  	45    	0.119941 	0.142101 	-0.02     	0.427219
4  	49    	0.0940171	0.141265 	-0.02     	0.428377
5  	46    	0.198416 	0.174262 	-0.02     	0.70647 
6  	48    	0.184949 	0.159671 	-0.0166667	0.582956
7  	43    	0.249218 	0.172896 	-0.0166667	0.583103
8  	49    	0.202077 	0.157115 	-0.0171429	0.581124
9  	45    	0.194772 	0.144828 	-0.02     	0.581124
10 	47    	0.2387   	0.150427 	-0.0200002	0.541939
11 	48    	0.219503 	0.154195 	-0.0177778	0.516016
12 	47    	0.20597  	0.174238 	-0.0166666	0.730613
13 	47    	0.202967 	0.146395 	-0.016    	0.576472
14 	48    	0.217315 	0.166747 	-0.0175   	0.664846
15 	48    	0.235585 	0.172255 	-0.0171429	0.582948
16 	47    	0.18545  	0.178926 	-0.0199999	0.649037
17 	45    	0.229366 	0.154843 	-0.02     	0.649037
18 	47    	0.236227 	0.16316  	-0.02     	0.607299
19 	47    	0.209552 	0.141058 	-0.0171429	0.642381
20 	47    	0.217495 	0.187663 	-0.02     	0.654723
21 	44    	0.251838 	0.186713 	-0.0181818	0.654723
22 	43    	0.301722 	0.203717 	-0.0166667	0.787787
23 	45    	0.23308  	0.203088 	-0.0181818	0.787787
24 	48    	0.19705  	0.149461 	-0.0166667	0.574759
25 	44    	0.254093 	0.187271 	-0.02     	0.804435
26 	46    	0.259344 	0.174808 	-0.02     	0.647493
27 	46    	0.257778 	0.189754 	-0.0166667	0.647493
28 	45    	0.23472  	0.186424 	-0.0177777	0.639289
29 	46    	0.272049 	0.156944 	-0.0180001	0.639289
30 	47    	0.234876 	0.172709 	-0.02     	0.639289
31 	46    	0.199826 	0.177366 	-0.02     	0.702687
32 	48    	0.248177 	0.146158 	-0.0166666	0.702687
33 	46    	0.260506 	0.157267 	-0.0177778	0.702687
