gen	nevals	avg     	stddev	min     	max     
0  	50    	0.218369	0     	0.218369	0.218369
1  	46    	0.0329874	0.0895654	-0.0150001	0.306831
2  	48    	0.0767873	0.122962 	-0.0166667	0.514444
3  	46    	0.108335 	0.132654 	-0.02     	0.427762
4  	49    	0.112815 	0.135028 	-0.02     	0.441289
5  	45    	0.181017 	0.178572 	-0.0171429	0.812825
6  	45    	0.190828 	0.1599   	-0.02     	0.514348
7  	48    	0.179271 	0.169203 	-0.02     	0.705984
8  	50    	0.212191 	0.157141 	-0.0166667	0.812308
9  	45    	0.193597 	0.158051 	-0.02     	0.591787
10 	44    	0.230706 	0.193411 	-0.02     	0.591787
11 	47    	0.216011 	0.184161 	-0.0171429	0.591787
12 	49    	0.206804 	0.15724  	-0.0175   	0.591787
13 	47    	0.255462 	0.121042 	-0.0166663	0.583187
14 	45    	0.270688 	0.15123  	-0.016    	0.583187
15 	46    	0.255724 	0.178076 	-0.02     	0.583187
16 	49    	0.217562 	0.162293 	-0.0175001	0.574942
17 	47    	0.218005 	0.17104  	-0.02     	0.812308
18 	45    	0.234165 	0.13889  	-0.0174999	0.516455
19 	49    	0.227798 	0.144008 	-0.02     	0.574686
20 	48    	0.197692 	0.153711 	-0.02     	0.581238
21 	47    	0.211184 	0.138135 	-0.02     	0.532187
22 	45    	0.240367 	0.11205  	-0.0175001	0.532187
23 	44    	0.255056 	0.139362 	-0.02     	0.532187
24 	47    	0.217873 	0.150075 	-0.02     	0.532187
25 	49    	0.233366 	0.136915 	-0.02     	0.511638
26 	47    	0.260421 	0.127856 	-0.02     	0.624068
27 	47    	0.250005 	0.130153 	-0.0171429	0.614518
28 	48    	0.265707 	0.150297 	-0.02     	0.687824
29 	46    	0.264202 	0.190378 	-0.02     	0.687824
30 	46    	0.261487 	0.176529 	-0.0199999	0.730095
31 	43    	0.26299  	0.191117 	-0.02     	0.687824
32 	42    	0.285972 	0.174647 	-0.02     	0.614355
33 	47    	0.289398 	0.168074 	-0.0171428	0.703401
34 	47    	0.223471 	0.152897 	-0.0177778	0.646119
35 	48    	0.250267 	0.1727   	-0.0177775	0.646119
36 	44    	0.262958 	0.161299 	-0.02     	0.646119
37 	46    	0.242916 	0.17649  	-0.0199999	0.804601
38 	47    	0.255354 	0.162571 	-0.02     	0.804601
39 	45    	0.279371 	0.180531 	-0.0166667	0.811396
