Argument values: path=C:\Users\1625203\Downloads\Framsticks50rc22\Framsticks50rc22, lib=None, sim=eval-allcriteria.sim;deterministic.sim;sample-period-2.sim;f9-mut-030.sim, genformat=None, initialgenotype=/*9*/BLU, opt=vertpos, popsize=50, generations=1000, tournament=10, pmut=0.9, pxov=0.2, hof_size=1, hof_savefile=None, max_numparts=30, max_numjoints=None, max_numneurons=None, max_numconnections=None, max_numgenochars=50
Using Framsticks version: 5.0rc22
Home (writable) dir     : C:\Users\1625203\Downloads\Framsticks50rc22\Framsticks50rc22\data
Resources dir           : C:\Users\1625203\Downloads\Framsticks50rc22\Framsticks50rc22\data

Available objects: ['CheckpointEvent', 'Collision', 'CrCollision', 'Creature', 'CreatureSettings', 'CreatureSignals', 'CreatureSnapshot', 'Dictionary', 'ExpProperties', 'ExpState', 'ExtValue', 'File', 'FunctionReference', 'GenMan', 'GenManStats', 'GenePool', 'GenePools', 'Geno', 'Genotype', 'Interface', 'Joint', 'Loader', 'Math', 'MechJoint', 'MechPart', 'MessageCatcher', 'Model', 'ModelGeometry', 'ModelSymmetry', 'Neuro', 'NeuroClass', 'NeuroClassLibrary', 'NeuroDef', 'NeuroSignals', 'NeuronsSimEnabled', 'ODE', 'Orient', 'Part', 'Population', 'Populations', 'Ref', 'Signal', 'SignalView', 'SimilMeasure', 'SimilMeasureDistribution', 'SimilMeasureGreedy', 'SimilMeasureHungarian', 'Simulator', 'SlaveSimulators', 'StopEvent', 'String', 'UserScripts', 'Vector', 'WireframeAppearance', 'World', 'WorldMap', 'WorldSignals', 'XYZ', '__builtins__', '__cached__', '__doc__', '__file__', '__loader__', '__name__', '__package__', '__spec__', 'c_api', 'ctypes', 'home_dir', 'init', 'os', 're', 'res_dir', 'sim_params', 'stats', 'sys']

Performing a basic test 1/2... OK.
Performing a basic test 2/2... OK.
Using settings: ['eval-allcriteria.sim', 'deterministic.sim', 'sample-period-2.sim', 'f9-mut-030.sim']
gen	nevals	avg     	stddev	min     	max     
0  	50    	0.218369	0     	0.218369	0.218369
1  	46    	0.0465685	0.0980402	-0.016  	0.23495 
2  	47    	0.0917888	0.109718 	-0.02   	0.312181
3  	47    	0.125684 	0.127635 	-0.0160001	0.430468
4  	44    	0.193001 	0.133244 	-0.0171429	0.507095
5  	43    	0.212872 	0.175686 	-0.0233333	0.819317
6  	45    	0.20317  	0.149005 	-0.02     	0.580116
7  	44    	0.20462  	0.179565 	-0.02     	0.812308
8  	48    	0.202114 	0.145516 	-0.02     	0.514329
9  	44    	0.239483 	0.193667 	-0.02     	0.812308
10 	44    	0.281779 	0.174997 	-0.0175001	0.688592
11 	49    	0.288384 	0.158654 	-0.0179999	0.648405
12 	44    	0.298551 	0.171748 	-0.0166667	0.647353
13 	48    	0.233468 	0.132412 	-0.0200001	0.636637
14 	47    	0.26629  	0.12708  	-0.0175   	0.636637
15 	48    	0.294244 	0.164913 	-0.02     	0.730341
16 	42    	0.29899  	0.185727 	-0.02     	0.733266
17 	48    	0.259241 	0.177063 	-0.02     	0.827097
18 	43    	0.313105 	0.178933 	-0.0177778	0.827097
19 	44    	0.272059 	0.181287 	-0.02     	0.748138
20 	44    	0.265426 	0.166764 	-0.0175   	0.748138
21 	43    	0.28785  	0.180238 	-0.0177778	0.748138
22 	44    	0.341484 	0.164787 	0.078343  	0.748138
23 	48    	0.259495 	0.173525 	-0.0200001	0.748138
24 	48    	0.230221 	0.162701 	-0.0225   	0.748138
25 	46    	0.241873 	0.136667 	-0.0200001	0.495804
26 	47    	0.268159 	0.154364 	-0.02     	0.593839
27 	45    	0.316195 	0.138496 	-0.0171415	0.593839
28 	47    	0.217378 	0.166466 	-0.02     	0.581352
29 	46    	0.230623 	0.16592  	-0.0171428	0.58128 
30 	46    	0.25493  	0.155281 	-0.0171429	0.593839
31 	44    	0.261311 	0.164874 	-0.02     	0.594226
32 	49    	0.248879 	0.153952 	-0.0171428	0.593839
33 	47    	0.285268 	0.170671 	-0.02     	0.595058
34 	44    	0.272901 	0.184195 	-0.0200001	0.593839
35 	47    	0.248846 	0.161581 	-0.02     	0.614855
36 	44    	0.276615 	0.191384 	-0.0181819	0.813771
37 	44    	0.287393 	0.188313 	-0.02     	0.813771
38 	46    	0.239481 	0.170308 	-0.016    	0.816329
39 	48    	0.231402 	0.185555 	-0.0199999	0.816329
40 	47    	0.278723 	0.21685  	-0.0174999	0.816329
41 	47    	0.274056 	0.199078 	-0.0199999	0.706431
42 	44    	0.271926 	0.196135 	-0.0177778	0.706431
43 	44    	0.281624 	0.180229 	-0.016    	0.706431
44 	45    	0.262651 	0.183816 	-0.02     	0.644785
45 	47    	0.260184 	0.187339 	-0.02     	0.643617
46 	45    	0.286404 	0.195042 	-0.0175   	0.713755
47 	46    	0.298201 	0.218499 	-0.02     	0.713755
48 	46    	0.255421 	0.18107  	-0.016    	0.713755
49 	46    	0.224232 	0.181543 	-0.02     	0.671814
50 	46    	0.250137 	0.200112 	-0.0166667	0.671814
51 	46    	0.292651 	0.176569 	-0.0166667	0.859309
52 	46    	0.289372 	0.191732 	-0.0177778	0.742608
53 	43    	0.318089 	0.190178 	-0.02     	0.742608
54 	46    	0.280542 	0.194192 	-0.0199999	0.742608
55 	46    	0.258192 	0.197621 	-0.02     	0.742608
56 	47    	0.307955 	0.199865 	-0.0171429	0.839347
57 	46    	0.299301 	0.238129 	-0.0199999	0.839347
58 	47    	0.274239 	0.172939 	-0.0175   	0.813515
59 	47    	0.29983  	0.188734 	-0.0171429	0.811247
60 	44    	0.325439 	0.20183  	-0.0171428	0.811396
61 	47    	0.261311 	0.204787 	-0.02     	0.811396
62 	48    	0.218895 	0.185055 	-0.0175   	0.697303
63 	44    	0.278376 	0.205166 	-0.02     	0.698664
64 	48    	0.231272 	0.170068 	-0.0175   	0.698664
65 	48    	0.278958 	0.215326 	-0.0171429	0.698664
66 	46    	0.295995 	0.199752 	-0.02     	0.704954
67 	45    	0.292245 	0.22733  	-0.0171429	0.828152
68 	45    	0.264905 	0.22854  	-0.0233333	0.828152
69 	49    	0.26075  	0.185089 	-0.0177778	0.704954
70 	46    	0.265808 	0.223149 	-0.0171428	0.810578
71 	44    	0.327937 	0.240393 	-0.0177778	0.835049
72 	48    	0.270486 	0.198927 	-0.0177778	0.73019 
73 	44    	0.312934 	0.224341 	-0.0171428	0.819317
74 	46    	0.301111 	0.222179 	-0.02     	0.819317
75 	48    	0.29004  	0.218708 	-0.0200001	0.722326
76 	49    	0.205796 	0.189459 	-0.0175   	0.706515
77 	49    	0.234745 	0.178749 	-0.017143 	0.702748
78 	46    	0.310409 	0.185788 	-0.0175   	0.70379 
79 	49    	0.222347 	0.154006 	-0.02     	0.704681
80 	47    	0.249719 	0.150794 	-0.0175   	0.704681
81 	46    	0.25782  	0.146006 	-0.02     	0.705169
82 	40    	0.270541 	0.161442 	-0.0175   	0.705169
83 	44    	0.305291 	0.174275 	-0.0175   	0.811396
84 	49    	0.26701  	0.173991 	-0.0166666	0.811396
85 	43    	0.233437 	0.196472 	-0.0171429	0.811396
86 	46    	0.285501 	0.183803 	-0.0175   	0.811396
87 	44    	0.300962 	0.182103 	-0.0166667	0.755164
88 	48    	0.267684 	0.164644 	-0.02     	0.714351
