Argument values: path=C:\Users\1625203\Downloads\Framsticks50rc22\Framsticks50rc22, lib=None, sim=eval-allcriteria.sim;deterministic.sim;sample-period-2.sim;f9-mut-0.sim, genformat=None, initialgenotype=/*9*/BLU, opt=vertpos, popsize=50, generations=1000, tournament=10, pmut=0.9, pxov=0.2, hof_size=1, hof_savefile=None, max_numparts=30, max_numjoints=None, max_numneurons=None, max_numconnections=None, max_numgenochars=50
Using Framsticks version: 5.0rc22
Home (writable) dir     : C:\Users\1625203\Downloads\Framsticks50rc22\Framsticks50rc22\data
Resources dir           : C:\Users\1625203\Downloads\Framsticks50rc22\Framsticks50rc22\data

Available objects: ['CheckpointEvent', 'Collision', 'CrCollision', 'Creature', 'CreatureSettings', 'CreatureSignals', 'CreatureSnapshot', 'Dictionary', 'ExpProperties', 'ExpState', 'ExtValue', 'File', 'FunctionReference', 'GenMan', 'GenManStats', 'GenePool', 'GenePools', 'Geno', 'Genotype', 'Interface', 'Joint', 'Loader', 'Math', 'MechJoint', 'MechPart', 'MessageCatcher', 'Model', 'ModelGeometry', 'ModelSymmetry', 'Neuro', 'NeuroClass', 'NeuroClassLibrary', 'NeuroDef', 'NeuroSignals', 'NeuronsSimEnabled', 'ODE', 'Orient', 'Part', 'Population', 'Populations', 'Ref', 'Signal', 'SignalView', 'SimilMeasure', 'SimilMeasureDistribution', 'SimilMeasureGreedy', 'SimilMeasureHungarian', 'Simulator', 'SlaveSimulators', 'StopEvent', 'String', 'UserScripts', 'Vector', 'WireframeAppearance', 'World', 'WorldMap', 'WorldSignals', 'XYZ', '__builtins__', '__cached__', '__doc__', '__file__', '__loader__', '__name__', '__package__', '__spec__', 'c_api', 'ctypes', 'home_dir', 'init', 'os', 're', 'res_dir', 'sim_params', 'stats', 'sys']

Performing a basic test 1/2... OK.
Performing a basic test 2/2... OK.
Using settings: ['eval-allcriteria.sim', 'deterministic.sim', 'sample-period-2.sim', 'f9-mut-0.sim']
gen	nevals	avg     	stddev	min     	max     
0  	50    	0.218369	0     	0.218369	0.218369
1  	47    	0.0883881	0.135516	-0.0150001	0.514537
2  	46    	0.108619 	0.126891	-0.02     	0.427792
3  	45    	0.235252 	0.156895	-0.0150001	0.581352
4  	42    	0.317446 	0.182827	-0.02     	0.704074
5  	47    	0.296196 	0.22362 	-0.0171429	0.705828
6  	47    	0.325191 	0.208537	-0.0171429	0.813708
7  	46    	0.216    	0.200072	-0.02     	0.736414
8  	48    	0.271154 	0.263682	-0.02     	0.818806
9  	47    	0.373014 	0.236198	-0.0171429	0.818806
10 	44    	0.426654 	0.261147	-0.0166667	0.818806
11 	46    	0.452301 	0.234014	0.0626493 	0.881805
12 	47    	0.415907 	0.249108	-0.0171429	0.881805
13 	50    	0.443313 	0.261547	-0.02     	0.881805
14 	46    	0.426011 	0.24303 	-0.0166667	0.812977
15 	45    	0.446375 	0.257439	-0.0166667	0.831707
16 	50    	0.383301 	0.257021	-0.0171428	0.812977
17 	46    	0.479021 	0.219493	-0.0166667	0.867758
18 	47    	0.46448  	0.249337	-0.015    	0.890091
19 	46    	0.446256 	0.273439	-0.0160001	0.906018
20 	45    	0.492831 	0.277557	-0.016    	0.982287
21 	44    	0.482804 	0.305788	-0.0133333	1.07045 
22 	45    	0.484934 	0.336174	-0.018    	1.07045 
23 	45    	0.495052 	0.332486	-0.01     	1.07045 
24 	44    	0.527727 	0.307532	0.0695617 	1.07045 
25 	46    	0.529999 	0.345884	0.0748237 	1.07045 
26 	46    	0.503892 	0.326451	-0.0166666	1.07045 
27 	45    	0.464144 	0.320059	-0.015    	1.07045 
28 	45    	0.480038 	0.309829	-0.0133334	1.07045 
29 	47    	0.473427 	0.303353	-0.0150001	1.07045 
30 	45    	0.473606 	0.32139 	-0.02     	0.982287
31 	45    	0.497528 	0.301698	-0.02     	0.964775
32 	46    	0.474446 	0.299391	-0.0159999	0.947906
33 	45    	0.571011 	0.296161	0.130106  	1.04092 
34 	46    	0.439209 	0.304398	-0.0160001	0.963703
35 	50    	0.426547 	0.281239	-0.0171429	0.948288
36 	47    	0.529499 	0.244363	0.0779753 	0.983516
37 	45    	0.551098 	0.257221	0.137279  	0.983516
38 	47    	0.498662 	0.262623	0.15176   	0.983516
39 	46    	0.488686 	0.287661	-0.0166666	0.982648
40 	46    	0.577118 	0.304861	-0.0171429	1.07469 
41 	49    	0.503858 	0.309206	-0.016    	0.983516
42 	46    	0.546695 	0.268152	0.0857908 	0.983516
43 	46    	0.582472 	0.27863 	-0.0177778	0.983516
44 	44    	0.603193 	0.30446 	-0.0166666	0.983516
45 	43    	0.574202 	0.33317 	-0.0199999	0.983516
46 	47    	0.522174 	0.306061	0.0748606 	0.983516
47 	44    	0.646514 	0.279085	0.136804  	0.983516
48 	47    	0.49905  	0.30715 	-0.0166666	0.983516
49 	44    	0.553553 	0.298565	0.0812932 	0.983516
50 	45    	0.621992 	0.279754	0.148016  	0.983516
51 	48    	0.535241 	0.283202	-0.015    	0.983516
52 	47    	0.548825 	0.277174	-0.015    	0.982904
53 	46    	0.596395 	0.27295 	-0.0171429	0.982904
54 	47    	0.539574 	0.305056	-0.0174999	0.983516
55 	44    	0.5719   	0.282247	0.0664928 	0.983516
56 	48    	0.488733 	0.280358	-0.0166667	0.906929
57 	41    	0.555839 	0.278325	-0.0171428	0.905151
58 	45    	0.540557 	0.306769	-0.0133334	1.025   
59 	46    	0.457773 	0.322688	-0.0166666	1.025   
60 	46    	0.43333  	0.31112 	0.0987886 	1.025   
61 	49    	0.478975 	0.316339	-0.01     	1.01905 
62 	45    	0.486519 	0.337299	-0.0166666	1.06421 
63 	43    	0.498051 	0.35064 	0.0731726 	1.06421 
64 	46    	0.475198 	0.3673  	-0.0171429	1.06444 
65 	46    	0.494698 	0.359514	-0.0171428	1.06444 
66 	46    	0.46825  	0.354548	0.066201  	1.06584 
67 	46    	0.535928 	0.37125 	-0.02     	1.06444 
68 	47    	0.522675 	0.337353	0.104061  	1.06444 
69 	48    	0.454509 	0.341536	-0.0150001	1.06584 
70 	50    	0.499431 	0.348791	0.0592817 	1.0736  
71 	47    	0.516209 	0.342839	0.114501  	1.0736  
