gen	nevals	avg     	stddev	min     	max     
0  	50    	0.218369	0     	0.218369	0.218369
1  	46    	0.0902855	0.110722	-0.0166667	0.281771
2  	46    	0.104121 	0.110666	-0.0166667	0.34171 
3  	48    	0.122193 	0.116109	-0.02     	0.413205
4  	46    	0.214125 	0.112625	-0.02     	0.413245
5  	46    	0.246564 	0.125539	-0.02     	0.576518
6  	47    	0.275532 	0.1349  	-0.02     	0.582995
7  	43    	0.313647 	0.162065	-0.02     	0.583947
8  	44    	0.344326 	0.176405	-0.016    	0.592146
9  	47    	0.296664 	0.178747	-0.0171428	0.58128 
10 	46    	0.28409  	0.201103	-0.0171428	0.58128 
11 	47    	0.272624 	0.206991	-0.0166667	0.695373
12 	45    	0.33349  	0.220933	-0.0166667	0.812977
13 	45    	0.248617 	0.252824	-0.0171429	0.812977
14 	47    	0.361611 	0.251432	-0.02     	0.812977
15 	45    	0.296709 	0.242752	-0.0166667	0.812825
16 	48    	0.322795 	0.252485	-0.02     	0.812825
17 	48    	0.207588 	0.254901	-0.0171429	0.812977
18 	48    	0.28123  	0.232623	-0.017143 	0.812825
19 	45    	0.339497 	0.263873	-0.0171429	0.812308
20 	45    	0.278289 	0.268689	-0.0171429	0.812977
21 	44    	0.279245 	0.266505	-0.0166667	0.812977
22 	47    	0.296535 	0.259992	-0.0171429	0.812825
23 	45    	0.335675 	0.275129	-0.0175   	0.812977
24 	47    	0.276272 	0.249196	-0.0166667	0.812825
25 	47    	0.319652 	0.258494	-0.0160001	0.812825
26 	47    	0.305782 	0.239574	-0.0171428	0.812825
27 	50    	0.226296 	0.220045	-0.0166667	0.812977
28 	46    	0.308154 	0.223743	-0.0171412	0.812977
29 	47    	0.293698 	0.261819	-0.0175001	0.819403
30 	46    	0.325875 	0.244688	-0.0166667	0.819403
31 	47    	0.386185 	0.258927	-0.0171429	0.819334
32 	48    	0.357853 	0.269003	-0.0166667	0.819334
33 	46    	0.407314 	0.253235	-0.02     	0.842636
34 	43    	0.408886 	0.295577	-0.0166667	0.842636
35 	47    	0.282835 	0.259741	-0.0166666	0.842636
36 	45    	0.332912 	0.275338	-0.0171429	0.842636
37 	43    	0.395815 	0.264551	-0.0166667	0.842636
38 	45    	0.36759  	0.245421	-0.0171428	0.842636
39 	39    	0.419982 	0.278377	-0.02     	0.842636
40 	49    	0.332615 	0.237612	-0.0160001	0.842636
41 	47    	0.321823 	0.217445	-0.017143 	0.702995
42 	47    	0.332998 	0.201739	-0.0171429	0.705828
43 	45    	0.383183 	0.276359	-0.02     	0.813708
44 	43    	0.400666 	0.248247	-0.0171429	0.813708
45 	44    	0.408569 	0.272535	-0.0171429	0.831993
46 	46    	0.395336 	0.272787	-0.0166667	0.831993
