gen	nevals	avg     	stddev	min     	max     
0  	50    	0.218369	0     	0.218369	0.218369
1  	48    	0.0404738	0.0916517	-0.0160001	0.218369
2  	44    	0.10116  	0.132379 	-0.0160001	0.514537
3  	48    	0.0962251	0.112278 	-0.0160003	0.355631
4  	47    	0.132444 	0.15293  	-0.02     	0.514579
5  	45    	0.142704 	0.159297 	-0.0166666	0.514203
6  	44    	0.183901 	0.172353 	-0.0171429	0.514329
7  	43    	0.233386 	0.16528  	-0.016    	0.51442 
8  	46    	0.16335  	0.160184 	-0.02     	0.51442 
9  	43    	0.201598 	0.1856   	-0.02     	0.514537
10 	49    	0.0858519	0.14832  	-0.0166667	0.51442 
11 	47    	0.192903 	0.177488 	-0.02     	0.693461
12 	48    	0.161979 	0.167745 	-0.0199999	0.514579
13 	42    	0.200035 	0.178602 	-0.0200001	0.514611
14 	42    	0.219231 	0.182335 	-0.0166666	0.514329
15 	43    	0.244256 	0.150734 	-0.0166666	0.568465
16 	46    	0.210697 	0.165812 	-0.0171429	0.568465
17 	50    	0.227435 	0.139758 	-0.0171428	0.695373
18 	45    	0.256745 	0.164926 	-0.0166668	0.695373
19 	47    	0.250916 	0.192213 	-0.0171428	0.706026
20 	49    	0.235138 	0.21282  	-0.0175   	0.813708
21 	48    	0.213324 	0.182335 	-0.02     	0.811247
22 	48    	0.218642 	0.196651 	-0.02     	0.703946
23 	48    	0.216803 	0.165804 	-0.0171429	0.687394
24 	44    	0.216622 	0.152875 	-0.0175   	0.51442 
25 	45    	0.186967 	0.148247 	-0.02     	0.5195  
26 	46    	0.256196 	0.150247 	-0.02     	0.694751
27 	46    	0.262661 	0.168078 	-0.0171429	0.694751
28 	48    	0.258897 	0.188989 	-0.0200001	0.812083
29 	48    	0.178155 	0.151524 	-0.02     	0.643479
30 	43    	0.220412 	0.180285 	-0.02     	0.643479
31 	44    	0.285344 	0.161526 	-0.02     	0.647722
32 	47    	0.25908  	0.178527 	-0.0174999	0.644792
33 	49    	0.285069 	0.182215 	-0.0175   	0.816446
34 	49    	0.234417 	0.162151 	-0.02     	0.646632
35 	46    	0.247069 	0.16862  	-0.02     	0.646632
36 	45    	0.243268 	0.146387 	-0.0171429	0.635224
37 	49    	0.260356 	0.124811 	-0.015    	0.635224
38 	42    	0.293528 	0.161886 	-0.0175   	0.635224
39 	45    	0.249812 	0.147494 	-0.02     	0.635224
40 	49    	0.245653 	0.127001 	-0.0177779	0.581124
41 	43    	0.251265 	0.123384 	-0.0166666	0.581124
42 	48    	0.21557  	0.123445 	-0.0171429	0.49855 
43 	47    	0.246966 	0.122934 	-0.0166607	0.598645
44 	48    	0.25586  	0.145022 	-0.02     	0.704127
