gen	nevals	avg     	stddev	min     	max     
0  	50    	0.218369	0     	0.218369	0.218369
1  	41    	0.0705707	0.110429	-0.0150001	0.296062
2  	50    	0.12611  	0.149326	-0.0160001	0.514537
3  	50    	0.195144 	0.155723	-0.0166667	0.581238
4  	47    	0.214875 	0.192771	-0.0166667	0.591908
5  	48    	0.269047 	0.215692	-0.0166668	0.591908
6  	50    	0.231544 	0.213269	-0.0171428	0.730155
7  	46    	0.287947 	0.218922	-0.0175   	0.706515
8  	48    	0.358138 	0.24831 	-0.0171429	0.730155
9  	45    	0.377076 	0.264578	-0.02     	0.835693
10 	47    	0.317761 	0.249158	-0.0200001	0.824212
11 	42    	0.412434 	0.269862	-0.0175   	0.824212
12 	43    	0.439835 	0.293669	-0.0171429	0.833493
13 	48    	0.457001 	0.266668	-0.017143 	0.820916
14 	45    	0.362086 	0.259423	-0.0175   	0.820916
15 	48    	0.333265 	0.287446	-0.02     	0.834856
16 	47    	0.347523 	0.269266	-0.0166667	0.812083
17 	47    	0.243895 	0.212629	-0.0199999	0.812083
18 	46    	0.366947 	0.237356	-0.0175   	0.833094
19 	47    	0.450702 	0.264282	-0.0177776	0.898959
20 	48    	0.338114 	0.285042	-0.018    	0.898959
21 	46    	0.417868 	0.292232	-0.0171428	0.898959
22 	46    	0.433109 	0.267785	-0.0177779	0.83986 
23 	48    	0.381345 	0.272941	-0.02     	0.83986 
24 	43    	0.484239 	0.236811	-0.02     	0.83986 
25 	49    	0.421939 	0.237017	-0.0133337	0.83986 
26 	46    	0.548061 	0.249644	0.0666782 	0.900666
27 	47    	0.478294 	0.286132	-0.0177778	1.06134 
28 	46    	0.50511  	0.308302	-0.015    	0.982318
29 	47    	0.527991 	0.297218	-0.016    	0.970685
30 	45    	0.441843 	0.314414	0.0738642 	0.970685
31 	44    	0.522986 	0.290865	0.0771822 	0.97871 
32 	48    	0.474232 	0.290928	0.121328  	0.970685
33 	47    	0.423419 	0.297245	-0.0166667	0.970685
34 	46    	0.393037 	0.293092	-0.017143 	0.970685
35 	44    	0.460082 	0.263092	0.0845961 	0.968421
36 	43    	0.482965 	0.281243	-0.018    	0.970685
37 	45    	0.480207 	0.24737 	-0.0133332	0.970685
38 	46    	0.455616 	0.257179	0.0905977 	0.970685
39 	47    	0.462464 	0.23691 	0.161642  	0.940982
40 	44    	0.499963 	0.256122	0.0465064 	0.954157
41 	49    	0.44577  	0.320518	-1        	0.858281
42 	46    	0.469536 	0.24651 	-0.0150001	0.851605
43 	48    	0.455603 	0.302688	-1        	0.851605
44 	46    	0.507996 	0.216642	0.115626  	0.896453
45 	43    	0.558934 	0.335681	-1        	0.97179 
46 	48    	0.460397 	0.285114	-0.0183333	0.97179 
47 	45    	0.534182 	0.266619	0.172889  	0.912404
48 	44    	0.556368 	0.269621	0.0593137 	0.912404
49 	46    	0.549511 	0.265631	0.0994862 	0.968154
50 	44    	0.545507 	0.271265	0.0842041 	0.977914
51 	46    	0.511611 	0.261621	0.173245  	0.977914
52 	47    	0.499535 	0.301297	0.0823896 	0.977914
53 	43    	0.500889 	0.315257	-0.015    	0.969149
54 	41    	0.547199 	0.308046	0.143055  	0.969149
55 	50    	0.421726 	0.307411	-0.0175   	1.03596 
56 	45    	0.445847 	0.28006 	0.0860074 	1.03745 
57 	50    	0.446906 	0.335172	-1        	0.96054 
58 	45    	0.51419  	0.277505	0.131023  	0.966806
59 	46    	0.464531 	0.274119	-0.0171428	0.966806
60 	44    	0.506448 	0.271943	-0.0171416	0.963915
61 	45    	0.563306 	0.309377	-0.0177777	1.09754 
62 	46    	0.498108 	0.270125	0.131804  	1.02315 
63 	48    	0.455634 	0.271476	-0.0166667	1.02315 
64 	45    	0.467557 	0.279401	0.121612  	1.00468 
65 	44    	0.517126 	0.282071	0.105402  	1.0254  
66 	49    	0.495676 	0.285819	-0.0177778	0.980342
67 	49    	0.510222 	0.292937	0.106474  	1.04989 
68 	46    	0.522828 	0.289299	0.133297  	0.982094
69 	46    	0.579631 	0.289578	0.0916027 	1.0466  
70 	50    	0.432519 	0.285939	-0.0166666	0.906741
