gen	nevals	avg     	stddev	min     	max     
0  	50    	0.218369	0     	0.218369	0.218369
1  	48    	0.0518613	0.103464	-0.0166667	0.306831
2  	49    	0.106201 	0.138039	-0.0166667	0.503744
3  	47    	0.151763 	0.120794	-0.02     	0.399483
4  	45    	0.18036  	0.156011	-0.0175   	0.581368
5  	45    	0.188679 	0.158839	-0.0166667	0.581368
6  	48    	0.178329 	0.145026	-0.0166667	0.581368
7  	46    	0.210764 	0.176744	-0.02     	0.581368
8  	48    	0.181688 	0.190265	-0.0166668	0.581238
9  	47    	0.177166 	0.16177 	-0.0166667	0.513963
10 	47    	0.157293 	0.160775	-0.0175   	0.581208
11 	45    	0.243144 	0.179817	-0.02     	0.812083
12 	48    	0.198999 	0.183872	-0.0177778	0.650508
13 	46    	0.230761 	0.159152	-0.0175   	0.615491
14 	47    	0.19659  	0.157109	-0.0175   	0.615682
15 	43    	0.294902 	0.187428	-0.0199999	0.695392
16 	44    	0.242365 	0.192071	-0.02     	0.702382
17 	46    	0.290411 	0.19465 	-0.0171429	0.705857
18 	45    	0.257738 	0.194964	-0.02     	0.695373
19 	46    	0.229148 	0.186668	-0.0171428	0.615682
20 	45    	0.24162  	0.229984	-0.02     	0.813756
21 	48    	0.204614 	0.201497	-0.0171429	0.813756
22 	45    	0.217924 	0.220612	-0.0171429	0.813756
23 	45    	0.176678 	0.162208	-0.0175001	0.813756
24 	45    	0.20942  	0.161706	-0.0171428	0.813756
25 	46    	0.225982 	0.188854	-0.0199999	0.813756
26 	45    	0.185903 	0.189455	-0.02     	0.811247
27 	50    	0.196844 	0.159334	-0.0166667	0.811396
28 	48    	0.196497 	0.196652	-0.02     	0.811396
29 	47    	0.243248 	0.20323 	-0.02     	0.811396
30 	48    	0.191003 	0.200547	-0.0233333	0.811396
31 	49    	0.172134 	0.159724	-0.0171429	0.558664
32 	47    	0.183817 	0.129913	-0.02     	0.514281
33 	45    	0.190021 	0.124386	-0.0171428	0.514281
34 	43    	0.181575 	0.183677	-0.0175   	0.697561
35 	48    	0.226033 	0.147562	-0.0177778	0.614583
36 	48    	0.214419 	0.147797	-0.0166667	0.582913
37 	43    	0.268934 	0.161392	-0.02     	0.593813
38 	42    	0.275918 	0.190988	-0.02     	0.593813
39 	49    	0.22598  	0.179095	-0.0171429	0.594973
40 	46    	0.194019 	0.150595	-0.0171429	0.594973
41 	47    	0.243473 	0.173935	-0.0171429	0.702748
42 	48    	0.225235 	0.159907	-0.02     	0.702748
43 	44    	0.231048 	0.178921	-0.02     	0.537866
44 	47    	0.158377 	0.154568	-0.0171429	0.537866
45 	47    	0.198446 	0.142655	-0.0175   	0.537866
46 	44    	0.223161 	0.166883	-0.02     	0.615613
47 	45    	0.237267 	0.171236	-0.02     	0.646269
48 	47    	0.255081 	0.150396	-0.0166667	0.646269
49 	45    	0.255831 	0.167353	-0.02     	0.646269
50 	50    	0.192325 	0.153662	-0.02     	0.732214
51 	43    	0.249668 	0.18703 	-0.018    	0.732214
52 	48    	0.272975 	0.169714	-0.0185714	0.732214
