gen	nevals	avg     	stddev	min     	max     
0  	50    	0.218369	0     	0.218369	0.218369
1  	47    	0.0540147	0.107284	-0.0150001	0.356517
2  	46    	0.101611 	0.141137	-0.0160001	0.514579
3  	46    	0.15466  	0.169837	-0.02     	0.514579
4  	49    	0.232411 	0.206099	-0.0171429	0.811396
5  	45    	0.273557 	0.209282	-0.0166668	0.811396
6  	47    	0.206846 	0.19834 	-0.017143 	0.811247
7  	46    	0.214413 	0.210079	-0.02     	0.811247
8  	46    	0.226935 	0.216473	-0.0166667	0.813708
9  	49    	0.214679 	0.197406	-0.02     	0.581321
10 	44    	0.248639 	0.19719 	-0.0166666	0.581238
11 	48    	0.190423 	0.193871	-0.0166667	0.813708
12 	48    	0.218399 	0.217561	-0.0166667	0.813708
13 	45    	0.284442 	0.259416	-0.0177781	0.813708
14 	49    	0.256429 	0.242526	-0.0166667	0.813708
15 	49    	0.236212 	0.232471	-0.0166667	0.812825
16 	44    	0.316385 	0.259044	-0.0166667	0.812825
17 	48    	0.190001 	0.222579	-0.02     	0.812977
18 	45    	0.285085 	0.231718	-0.0171431	0.812977
19 	44    	0.287597 	0.266422	-0.02     	0.812977
20 	44    	0.316854 	0.282339	-0.0171429	0.813708
21 	50    	0.266743 	0.246123	-0.02     	0.813756
22 	47    	0.29913  	0.243313	-0.02     	0.813708
23 	45    	0.26859  	0.256478	-0.0171429	0.813708
24 	47    	0.316692 	0.2303  	-0.0171429	0.813708
25 	45    	0.305682 	0.267448	-0.018    	0.813708
26 	45    	0.333146 	0.271458	-0.0171429	0.813708
27 	45    	0.345633 	0.281625	-0.0166666	0.813756
28 	44    	0.253894 	0.29974 	-0.02     	0.813756
29 	44    	0.261576 	0.294734	-0.02     	0.813756
30 	48    	0.233894 	0.246392	-0.0175   	0.813708
31 	47    	0.222482 	0.214683	-0.0166667	0.813756
32 	42    	0.303608 	0.253625	-0.0175   	0.813756
33 	45    	0.339727 	0.268979	-0.0171429	0.813756
34 	43    	0.340417 	0.314301	-0.0175   	0.813756
35 	48    	0.258993 	0.252077	-0.0166667	0.813756
36 	48    	0.276161 	0.258093	-0.0166667	0.813756
37 	44    	0.215646 	0.248266	-0.0171428	0.813756
38 	46    	0.260832 	0.219828	-0.0171429	0.813756
39 	45    	0.274912 	0.242199	-0.0171429	0.811396
40 	49    	0.25542  	0.227703	-0.0171429	0.813708
41 	46    	0.265113 	0.237912	-0.0166668	0.813708
42 	47    	0.279423 	0.275413	-0.0171428	0.813756
43 	45    	0.292879 	0.276084	-0.0171429	0.813708
44 	48    	0.287364 	0.246491	-0.0166667	0.813756
45 	45    	0.290796 	0.264832	-0.02     	0.813756
46 	43    	0.293934 	0.274512	-0.0171429	0.813756
47 	46    	0.252184 	0.255357	-0.0171429	0.813708
48 	45    	0.304542 	0.257027	-0.0175   	0.813756
49 	47    	0.242001 	0.219223	-0.0160001	0.813756
50 	43    	0.322952 	0.26711 	-0.0166667	0.813756
51 	47    	0.226618 	0.243981	-0.0171428	0.819317
52 	46    	0.362207 	0.251338	-0.0171429	0.813756
53 	41    	0.350872 	0.310833	-0.0166667	0.819458
54 	45    	0.291751 	0.29237 	-0.0174999	0.819458
55 	45    	0.322428 	0.231992	-0.0166667	0.819458
56 	45    	0.369547 	0.263904	-0.0175   	0.819458
57 	47    	0.375361 	0.253839	-0.016    	0.819458
58 	45    	0.324069 	0.260168	-0.0199999	0.819458
59 	48    	0.415101 	0.271285	-0.0133334	0.819458
60 	48    	0.323822 	0.270912	-0.0166666	0.819458
61 	46    	0.364945 	0.271253	-0.0171429	0.819458
62 	44    	0.35992  	0.281928	-0.0171429	0.845432
63 	48    	0.331738 	0.25748 	-0.0171429	0.819458
64 	45    	0.349099 	0.246025	-0.0175001	0.819458
65 	43    	0.363023 	0.263039	-0.0166667	0.819458
66 	45    	0.335507 	0.273626	-0.0171429	0.819458
67 	46    	0.320095 	0.256118	-0.0171428	0.819458
68 	47    	0.335291 	0.232112	-0.02     	0.85608 
69 	46    	0.382341 	0.220598	-0.0150001	0.85608 
70 	47    	0.347949 	0.242438	-0.0175   	0.85608 
71 	43    	0.361346 	0.263525	-0.0171429	0.85608 
72 	48    	0.35621  	0.240804	-0.0171429	0.85608 
73 	42    	0.381171 	0.250055	-0.0166667	0.812977
74 	48    	0.350591 	0.244156	-0.0171428	0.819458
75 	47    	0.334351 	0.243061	-0.0175   	0.812977
76 	46    	0.308237 	0.221517	-0.02     	0.704954
77 	46    	0.324727 	0.235733	-0.0171429	0.732661
78 	49    	0.326885 	0.224409	-0.02     	0.733716
79 	46    	0.31971  	0.233219	-0.0171429	0.727243
80 	46    	0.328128 	0.241932	-0.0171429	0.812977
