Argument values: path=C:\Users\1625203\Downloads\Framsticks50rc22\Framsticks50rc22, lib=None, sim=eval-allcriteria.sim;deterministic.sim;sample-period-2.sim;f9-mut-010.sim, genformat=None, initialgenotype=/*9*/BLU, opt=vertpos, popsize=50, generations=1000, tournament=10, pmut=0.9, pxov=0.2, hof_size=1, hof_savefile=None, max_numparts=30, max_numjoints=None, max_numneurons=None, max_numconnections=None, max_numgenochars=50
Using Framsticks version: 5.0rc22
Home (writable) dir     : C:\Users\1625203\Downloads\Framsticks50rc22\Framsticks50rc22\data
Resources dir           : C:\Users\1625203\Downloads\Framsticks50rc22\Framsticks50rc22\data

Available objects: ['CheckpointEvent', 'Collision', 'CrCollision', 'Creature', 'CreatureSettings', 'CreatureSignals', 'CreatureSnapshot', 'Dictionary', 'ExpProperties', 'ExpState', 'ExtValue', 'File', 'FunctionReference', 'GenMan', 'GenManStats', 'GenePool', 'GenePools', 'Geno', 'Genotype', 'Interface', 'Joint', 'Loader', 'Math', 'MechJoint', 'MechPart', 'MessageCatcher', 'Model', 'ModelGeometry', 'ModelSymmetry', 'Neuro', 'NeuroClass', 'NeuroClassLibrary', 'NeuroDef', 'NeuroSignals', 'NeuronsSimEnabled', 'ODE', 'Orient', 'Part', 'Population', 'Populations', 'Ref', 'Signal', 'SignalView', 'SimilMeasure', 'SimilMeasureDistribution', 'SimilMeasureGreedy', 'SimilMeasureHungarian', 'Simulator', 'SlaveSimulators', 'StopEvent', 'String', 'UserScripts', 'Vector', 'WireframeAppearance', 'World', 'WorldMap', 'WorldSignals', 'XYZ', '__builtins__', '__cached__', '__doc__', '__file__', '__loader__', '__name__', '__package__', '__spec__', 'c_api', 'ctypes', 'home_dir', 'init', 'os', 're', 'res_dir', 'sim_params', 'stats', 'sys']

Performing a basic test 1/2... OK.
Performing a basic test 2/2... OK.
Using settings: ['eval-allcriteria.sim', 'deterministic.sim', 'sample-period-2.sim', 'f9-mut-010.sim']
gen	nevals	avg     	stddev	min     	max     
0  	50    	0.218369	0     	0.218369	0.218369
1  	45    	0.0947009	0.111379	-0.0150001	0.306792
2  	47    	0.105918 	0.132297	-0.0166667	0.441226
3  	47    	0.12574  	0.123474	-0.02     	0.356517
4  	47    	0.16589  	0.135232	-0.0171428	0.51442 
5  	46    	0.154264 	0.145808	-0.0166667	0.51442 
6  	46    	0.227774 	0.119494	-0.0160001	0.546377
7  	45    	0.292892 	0.139852	-0.015    	0.5593  
8  	44    	0.318102 	0.158581	-0.02     	0.617696
9  	43    	0.304299 	0.1692  	-0.02     	0.598665
10 	45    	0.320556 	0.195216	-0.02     	0.804169
11 	46    	0.32346  	0.17977 	-0.0199998	0.598759
12 	44    	0.293707 	0.198528	-0.018    	0.617722
13 	45    	0.300633 	0.202524	-0.02     	0.617722
14 	44    	0.312858 	0.167192	-0.02     	0.613765
15 	44    	0.294127 	0.18997 	-0.02     	0.613765
16 	47    	0.289871 	0.183316	-0.0200001	0.617722
17 	47    	0.273675 	0.194412	-0.02     	0.644159
18 	49    	0.276763 	0.205704	-0.0171429	0.64416 
19 	49    	0.263284 	0.19114 	-0.0200001	0.598759
20 	47    	0.304149 	0.172921	-0.02     	0.644327
21 	45    	0.288526 	0.242303	-0.02     	0.805654
22 	46    	0.33666  	0.242084	-0.0166668	0.813756
23 	45    	0.317791 	0.239729	-0.02     	0.813756
24 	46    	0.275761 	0.274289	-0.02     	0.813756
25 	44    	0.370283 	0.249481	-0.018    	0.813756
26 	48    	0.389695 	0.23768 	-0.0171429	0.813756
27 	46    	0.290259 	0.264204	-0.0199998	0.813756
28 	47    	0.259958 	0.228795	-0.02     	0.813756
29 	41    	0.296136 	0.219596	-0.02     	0.813756
30 	49    	0.328355 	0.233038	-0.0177777	0.812083
31 	44    	0.310591 	0.236989	-0.017143 	0.734484
32 	48    	0.331889 	0.25177 	-0.0166667	0.813708
33 	45    	0.365395 	0.241092	-0.0166667	0.813756
34 	46    	0.294596 	0.258294	-0.0166667	0.813756
