Argument values: path=C:\Users\1625203\Downloads\Framsticks50rc22\Framsticks50rc22, lib=None, sim=eval-allcriteria.sim;deterministic.sim;sample-period-2.sim;f9-mut-030.sim, genformat=None, initialgenotype=/*9*/BLU, opt=vertpos, popsize=50, generations=1000, tournament=10, pmut=0.9, pxov=0.2, hof_size=1, hof_savefile=None, max_numparts=30, max_numjoints=None, max_numneurons=None, max_numconnections=None, max_numgenochars=50
Using Framsticks version: 5.0rc22
Home (writable) dir     : C:\Users\1625203\Downloads\Framsticks50rc22\Framsticks50rc22\data
Resources dir           : C:\Users\1625203\Downloads\Framsticks50rc22\Framsticks50rc22\data

Available objects: ['CheckpointEvent', 'Collision', 'CrCollision', 'Creature', 'CreatureSettings', 'CreatureSignals', 'CreatureSnapshot', 'Dictionary', 'ExpProperties', 'ExpState', 'ExtValue', 'File', 'FunctionReference', 'GenMan', 'GenManStats', 'GenePool', 'GenePools', 'Geno', 'Genotype', 'Interface', 'Joint', 'Loader', 'Math', 'MechJoint', 'MechPart', 'MessageCatcher', 'Model', 'ModelGeometry', 'ModelSymmetry', 'Neuro', 'NeuroClass', 'NeuroClassLibrary', 'NeuroDef', 'NeuroSignals', 'NeuronsSimEnabled', 'ODE', 'Orient', 'Part', 'Population', 'Populations', 'Ref', 'Signal', 'SignalView', 'SimilMeasure', 'SimilMeasureDistribution', 'SimilMeasureGreedy', 'SimilMeasureHungarian', 'Simulator', 'SlaveSimulators', 'StopEvent', 'String', 'UserScripts', 'Vector', 'WireframeAppearance', 'World', 'WorldMap', 'WorldSignals', 'XYZ', '__builtins__', '__cached__', '__doc__', '__file__', '__loader__', '__name__', '__package__', '__spec__', 'c_api', 'ctypes', 'home_dir', 'init', 'os', 're', 'res_dir', 'sim_params', 'stats', 'sys']

Performing a basic test 1/2... OK.
Performing a basic test 2/2... OK.
Using settings: ['eval-allcriteria.sim', 'deterministic.sim', 'sample-period-2.sim', 'f9-mut-030.sim']
gen	nevals	avg     	stddev	min     	max     
0  	50    	0.218369	0     	0.218369	0.218369
1  	46    	0.0627874	0.106591	-0.016  	0.356517
2  	48    	0.0956612	0.130829	-0.0160001	0.514611
3  	45    	0.141406 	0.162015	-0.0166667	0.515522
4  	49    	0.175508 	0.167068	-0.02     	0.582913
5  	47    	0.231079 	0.159783	-0.02     	0.583187
6  	45    	0.239298 	0.187515	-0.0166667	0.583187
7  	46    	0.245207 	0.195021	-0.0166667	0.693234
8  	43    	0.255643 	0.227644	-0.0171428	0.702709
9  	46    	0.213496 	0.208459	-0.0171429	0.702709
10 	44    	0.22315  	0.196141	-0.0166667	0.702709
11 	47    	0.220444 	0.212511	-0.02     	0.702709
12 	49    	0.204824 	0.168904	-0.0171428	0.70633 
13 	45    	0.21676  	0.15315 	-0.02     	0.706431
14 	45    	0.26649  	0.197082	-0.02     	0.706431
15 	47    	0.255106 	0.192094	-0.016    	0.706431
16 	44    	0.233437 	0.220383	-0.0175   	0.706431
17 	47    	0.217403 	0.1826  	-0.0171428	0.706431
18 	47    	0.193658 	0.139412	-0.0200001	0.560599
19 	43    	0.27774  	0.141702	-0.0171429	0.628671
20 	47    	0.277259 	0.186325	-0.0181818	0.702954
21 	49    	0.257105 	0.150685	-0.0180001	0.703303
22 	41    	0.294395 	0.177594	-0.0171429	0.703303
23 	44    	0.251028 	0.180474	-0.0171429	0.703303
24 	48    	0.258496 	0.152696	-0.0175   	0.698452
25 	47    	0.24729  	0.175588	-0.0171429	0.698452
26 	47    	0.263932 	0.208482	-0.02     	0.70328 
27 	46    	0.310974 	0.18979 	-0.02     	0.800245
28 	45    	0.312551 	0.215934	-0.0175   	0.800245
29 	49    	0.216309 	0.171881	-0.02     	0.703179
30 	46    	0.268534 	0.171126	-0.0166666	0.731322
31 	45    	0.270207 	0.205989	-0.0171429	0.731322
32 	48    	0.252695 	0.201482	-0.0175   	0.731322
33 	46    	0.307512 	0.203958	-0.02     	0.731322
34 	44    	0.343417 	0.21082 	-0.016    	0.731322
35 	43    	0.274808 	0.23357 	-0.0175   	0.731322
36 	49    	0.224324 	0.181088	-0.0200001	0.731322
37 	43    	0.251858 	0.178142	-0.0166667	0.703753
38 	48    	0.244341 	0.153375	-0.02     	0.706539
39 	44    	0.269036 	0.18606 	-0.0177778	0.716524
40 	47    	0.275481 	0.199514	-0.02     	0.716524
41 	48    	0.271395 	0.19029 	-0.0166667	0.706539
42 	45    	0.342761 	0.20623 	-0.0171429	0.729979
43 	49    	0.26085  	0.194274	-0.02     	0.729979
44 	49    	0.244843 	0.212305	-0.0171428	0.729998
45 	48    	0.274863 	0.186016	-0.0175   	0.720048
46 	45    	0.283538 	0.196782	-0.02     	0.720048
47 	49    	0.257129 	0.175441	-0.0171429	0.615046
48 	45    	0.29975  	0.206764	-0.0166667	0.797563
49 	47    	0.333678 	0.204267	-0.0166667	0.720053
50 	50    	0.287572 	0.193141	-0.02     	0.730197
51 	45    	0.308168 	0.218173	-0.0171385	0.736027
52 	46    	0.307506 	0.226462	-0.02     	0.83112 
53 	48    	0.307013 	0.223688	-0.02     	0.83112 
54 	44    	0.302165 	0.241852	-0.02     	0.83112 
55 	44    	0.308329 	0.25775 	-0.02     	0.83112 
56 	46    	0.286982 	0.231622	-0.02     	0.83112 
57 	48    	0.244797 	0.208847	-0.0175   	0.730197
58 	47    	0.256161 	0.185717	-0.0199999	0.730197
59 	45    	0.275186 	0.183012	-0.0175   	0.730197
60 	44    	0.336478 	0.205074	-0.0171427	0.730197
