gen	nevals	avg     	stddev	min     	max     
0  	50    	0.218369	0     	0.218369	0.218369
1  	47    	0.0495845	0.100977	-0.0166667	0.229482
2  	46    	0.108129 	0.121668	-0.0171428	0.399698
3  	44    	0.16023  	0.144333	-0.016    	0.51442 
4  	49    	0.176361 	0.111591	-0.02     	0.514329
5  	46    	0.234751 	0.164922	-0.02     	0.581238
6  	49    	0.254612 	0.169416	-0.0166667	0.703679
7  	43    	0.284041 	0.190634	-0.0171428	0.703679
8  	48    	0.26798  	0.187422	-0.0174977	0.812308
9  	44    	0.30709  	0.257722	-0.0175   	0.812977
10 	44    	0.268407 	0.284769	-0.0166667	0.812825
11 	49    	0.248335 	0.256833	-0.0171429	0.812977
12 	46    	0.245271 	0.230638	-0.0171429	0.812977
13 	48    	0.250656 	0.212333	-0.0171429	0.812308
14 	44    	0.302722 	0.263722	-0.0171428	0.812308
15 	49    	0.253    	0.246732	-0.0171428	0.812977
16 	49    	0.228202 	0.228647	-0.0166667	0.819317
17 	45    	0.30765  	0.222623	-0.0171429	0.705857
18 	43    	0.35161  	0.22387 	-0.02     	0.818826
19 	44    	0.381329 	0.248177	-0.02     	0.819317
20 	41    	0.402114 	0.28423 	-0.02     	0.818826
21 	49    	0.325611 	0.238139	-0.0166666	0.813756
22 	48    	0.3147   	0.243408	-0.02     	0.818826
23 	46    	0.310407 	0.248846	-0.0175   	0.818826
24 	48    	0.337896 	0.218692	-0.0175001	0.811396
25 	42    	0.352196 	0.250883	-0.0177778	0.812825
26 	47    	0.278618 	0.229838	-0.0171429	0.812825
27 	45    	0.303457 	0.219264	-0.0166667	0.812825
28 	46    	0.321182 	0.255779	-0.0171429	0.818826
29 	46    	0.39038  	0.266951	-0.02     	0.818826
30 	49    	0.348911 	0.229605	-0.0160001	0.811247
31 	47    	0.322455 	0.234196	-0.0171428	0.818826
32 	50    	0.297079 	0.239404	-0.02     	0.868492
33 	48    	0.300153 	0.241429	-0.02     	0.868492
34 	46    	0.329888 	0.240592	-0.0166567	0.868492
35 	46    	0.380785 	0.241963	-0.0171429	0.868492
36 	46    	0.34286  	0.26877 	-0.0166667	0.868492
37 	47    	0.342818 	0.230393	-0.0166667	0.812308
38 	44    	0.366781 	0.242476	-0.0160001	0.819969
39 	42    	0.432144 	0.268236	-0.0166667	0.819969
40 	45    	0.300275 	0.257159	-0.0175   	0.812825
41 	42    	0.403129 	0.263746	-0.0171429	0.812825
42 	42    	0.376017 	0.280476	-0.0175   	0.819969
43 	46    	0.333367 	0.27767 	-0.0175   	0.819969
44 	44    	0.358046 	0.284321	-0.0171429	0.819969
45 	47    	0.391706 	0.262921	-0.02     	0.812825
46 	45    	0.356504 	0.285702	-0.02     	0.819969
47 	45    	0.351217 	0.259803	-0.0166652	0.812825
48 	42    	0.354202 	0.291082	-0.02     	0.812825
49 	45    	0.290545 	0.269403	-0.0166667	0.812825
50 	43    	0.334761 	0.27898 	-0.0199998	0.819969
51 	44    	0.357071 	0.253755	-0.0166667	0.819969
52 	45    	0.334865 	0.236601	-0.0166667	0.819969
53 	44    	0.336708 	0.256891	-0.02     	0.819969
54 	43    	0.426509 	0.258119	-0.0166667	0.819969
55 	46    	0.378741 	0.249651	-0.015    	0.819969
56 	43    	0.414087 	0.273547	-0.0166667	0.819969
57 	48    	0.337304 	0.24477 	-0.0166667	0.819969
58 	41    	0.486457 	0.246816	-0.016    	0.819969
59 	48    	0.320111 	0.279957	-0.0174999	0.819969
60 	43    	0.439602 	0.276467	-0.0160001	0.819969
61 	47    	0.327087 	0.256133	-0.0166667	0.819969
62 	48    	0.287454 	0.206547	-0.0171429	0.811396
63 	46    	0.334101 	0.219033	-0.0166667	0.819969
64 	43    	0.366424 	0.23645 	-0.015    	0.819969
65 	47    	0.294529 	0.238804	-0.0171429	0.819969
66 	45    	0.293627 	0.252845	-0.0175   	0.805245
67 	47    	0.338706 	0.250229	-0.0175   	0.846101
68 	46    	0.334474 	0.246773	-0.0171428	0.812083
69 	43    	0.376329 	0.240042	-0.0171428	0.706157
70 	50    	0.302939 	0.228377	-0.0171427	0.811396
71 	48    	0.312731 	0.236433	-0.0166577	0.812977
72 	47    	0.382395 	0.259489	-0.0166667	0.812977
73 	45    	0.294572 	0.268401	-0.0166667	0.812977
74 	46    	0.333851 	0.280844	-0.02     	0.81995 
75 	41    	0.423175 	0.299941	-0.0166667	0.81995 
76 	45    	0.3348   	0.279467	-0.0174999	0.81995 
77 	46    	0.265342 	0.233293	-0.0171429	0.813756
78 	48    	0.317948 	0.25565 	-0.0171429	0.813756
79 	43    	0.371203 	0.263017	-0.0166666	0.813756
80 	46    	0.319673 	0.275901	-0.0166667	0.812977
81 	45    	0.3362   	0.247203	-0.0166668	0.812977
82 	46    	0.306217 	0.253419	-0.0171429	0.812825
83 	46    	0.317709 	0.225687	-0.0177778	0.812977
84 	49    	0.291712 	0.194321	-0.0166666	0.703725
85 	50    	0.226309 	0.220422	-0.0175   	0.813756
86 	48    	0.295514 	0.207691	-0.0171429	0.698271
87 	45    	0.374808 	0.236665	-0.0171429	0.813756
88 	45    	0.305932 	0.236201	-0.0175   	0.811247
89 	45    	0.379633 	0.24099 	-0.0166667	0.819317
90 	45    	0.35294  	0.245331	-0.0133332	0.832826
91 	46    	0.399797 	0.281948	-0.0175   	0.833485
92 	46    	0.325955 	0.267094	-0.0177778	0.833485
93 	45    	0.409645 	0.25484 	-0.0175   	0.833485
94 	43    	0.420435 	0.274724	-0.0166667	0.833493
95 	46    	0.399375 	0.276672	-0.0174999	0.832826
96 	48    	0.332747 	0.245264	-0.0171428	0.833485
97 	46    	0.401184 	0.251087	-0.02     	0.833485
98 	44    	0.394511 	0.257216	-0.0177778	0.833485
99 	43    	0.401756 	0.258331	-0.0166667	0.833485
100	46    	0.306272 	0.244418	-0.0200001	0.833485
101	48    	0.31585  	0.272253	-0.02     	0.834818
102	47    	0.393871 	0.236677	-0.0177778	0.832826
103	49    	0.269442 	0.194541	-0.0175   	0.705857
104	49    	0.35818  	0.225121	-0.0175   	0.705857
105	50    	0.326276 	0.193427	-0.0171429	0.812083
106	44    	0.393051 	0.201529	-0.0171429	0.70176 
107	44    	0.366524 	0.239736	-0.02     	0.705857
108	44    	0.381516 	0.241905	-0.02     	0.812083
109	46    	0.326384 	0.291557	-0.02     	0.813756
110	46    	0.341006 	0.232906	-0.0160001	0.813756
111	47    	0.212335 	0.254486	-0.0175   	0.813708
112	45    	0.285312 	0.229954	-0.0166666	0.813708
113	48    	0.253227 	0.235763	-0.017143 	0.846461
114	50    	0.31262  	0.236983	-0.017143 	0.8493  
115	47    	0.397944 	0.225705	-0.0166666	0.8493  
116	41    	0.454861 	0.234463	0.0557138 	0.853387
117	46    	0.411009 	0.277993	-0.017143 	0.864454
118	47    	0.37273  	0.216084	-0.0177778	0.866383
119	47    	0.355864 	0.214216	-0.0166667	0.866383
120	47    	0.372329 	0.234828	-0.016    	0.866383
121	46    	0.324935 	0.232012	-0.0166667	0.866352
122	46    	0.404822 	0.230077	0.0747692 	0.866352
123	46    	0.423436 	0.225527	0.0708707 	0.866352
124	45    	0.41232  	0.240023	-0.016    	0.866352
125	46    	0.371482 	0.24741 	-0.02     	0.866352
126	46    	0.378398 	0.248348	-0.0175   	0.859163
127	49    	0.452307 	0.24662 	-0.0171429	0.875936
128	40    	0.468723 	0.277907	-0.0166652	0.945801
129	48    	0.447572 	0.266075	-0.0171428	0.949881
130	50    	0.377669 	0.261603	-0.016    	0.876796
131	45    	0.433698 	0.261866	-0.0166666	0.876796
