Argument values: path=C:\Users\1625203\Downloads\Framsticks50rc22\Framsticks50rc22, lib=None, sim=eval-allcriteria.sim;deterministic.sim;sample-period-2.sim;f9-mut-010.sim, genformat=None, initialgenotype=/*9*/BLU, opt=vertpos, popsize=50, generations=1000, tournament=10, pmut=0.9, pxov=0.2, hof_size=1, hof_savefile=None, max_numparts=30, max_numjoints=None, max_numneurons=None, max_numconnections=None, max_numgenochars=50
Using Framsticks version: 5.0rc22
Home (writable) dir     : C:\Users\1625203\Downloads\Framsticks50rc22\Framsticks50rc22\data
Resources dir           : C:\Users\1625203\Downloads\Framsticks50rc22\Framsticks50rc22\data

Available objects: ['CheckpointEvent', 'Collision', 'CrCollision', 'Creature', 'CreatureSettings', 'CreatureSignals', 'CreatureSnapshot', 'Dictionary', 'ExpProperties', 'ExpState', 'ExtValue', 'File', 'FunctionReference', 'GenMan', 'GenManStats', 'GenePool', 'GenePools', 'Geno', 'Genotype', 'Interface', 'Joint', 'Loader', 'Math', 'MechJoint', 'MechPart', 'MessageCatcher', 'Model', 'ModelGeometry', 'ModelSymmetry', 'Neuro', 'NeuroClass', 'NeuroClassLibrary', 'NeuroDef', 'NeuroSignals', 'NeuronsSimEnabled', 'ODE', 'Orient', 'Part', 'Population', 'Populations', 'Ref', 'Signal', 'SignalView', 'SimilMeasure', 'SimilMeasureDistribution', 'SimilMeasureGreedy', 'SimilMeasureHungarian', 'Simulator', 'SlaveSimulators', 'StopEvent', 'String', 'UserScripts', 'Vector', 'WireframeAppearance', 'World', 'WorldMap', 'WorldSignals', 'XYZ', '__builtins__', '__cached__', '__doc__', '__file__', '__loader__', '__name__', '__package__', '__spec__', 'c_api', 'ctypes', 'home_dir', 'init', 'os', 're', 'res_dir', 'sim_params', 'stats', 'sys']

Performing a basic test 1/2... OK.
Performing a basic test 2/2... OK.
Using settings: ['eval-allcriteria.sim', 'deterministic.sim', 'sample-period-2.sim', 'f9-mut-010.sim']
gen	nevals	avg     	stddev	min     	max     
0  	50    	0.218369	0     	0.218369	0.218369
1  	46    	0.0798577	0.118473	-0.0160001	0.356517
2  	48    	0.150343 	0.172841	-0.02     	0.812825
3  	46    	0.207    	0.217917	-0.0166667	0.812825
4  	48    	0.226928 	0.187428	-0.0166667	0.643469
5  	43    	0.33313  	0.195686	-0.0177778	0.643469
6  	47    	0.354741 	0.212966	-0.0175   	0.756778
7  	49    	0.255929 	0.212297	-0.02     	0.775823
8  	47    	0.388212 	0.199851	-0.02     	0.702675
9  	46    	0.357027 	0.210801	-0.0160001	0.728511
10 	46    	0.386267 	0.230751	-0.0175001	0.804601
11 	46    	0.355409 	0.240384	-0.02     	0.831692
12 	48    	0.301528 	0.234965	-0.02     	0.835026
13 	46    	0.410532 	0.224064	0.086519  	0.831692
14 	43    	0.436841 	0.265667	-0.0200001	0.838461
15 	45    	0.357207 	0.277709	-0.0183333	0.768106
16 	46    	0.329194 	0.260043	-0.0200001	0.827262
17 	45    	0.361038 	0.289281	-0.02     	0.827344
18 	47    	0.349952 	0.256747	-0.0166667	0.819395
19 	47    	0.389168 	0.270436	-0.0175   	0.899718
20 	43    	0.451327 	0.29889 	-0.0171429	0.899718
21 	48    	0.33015  	0.280424	-0.0171428	0.899718
22 	46    	0.321912 	0.273178	-0.0180001	0.839747
23 	48    	0.340375 	0.257279	-0.016    	0.827345
24 	42    	0.414993 	0.234556	-0.0166667	0.827345
25 	48    	0.393692 	0.237514	-0.0171428	0.839845
26 	46    	0.397397 	0.239024	0.0607822 	0.839845
27 	49    	0.412801 	0.21651 	-0.015    	0.839845
28 	42    	0.453681 	0.225149	0.0843943 	0.839845
29 	44    	0.399621 	0.231166	0.0660328 	0.839845
30 	47    	0.416146 	0.250686	-0.0166666	0.839845
31 	48    	0.443925 	0.237881	-0.016    	0.756082
32 	46    	0.440395 	0.225883	-0.0166666	0.853489
33 	47    	0.397216 	0.242606	-0.02     	0.949919
34 	48    	0.400337 	0.223516	0.0758262 	0.849768
35 	42    	0.434589 	0.238402	0.0751723 	0.902849
36 	44    	0.436363 	0.242139	-0.0133334	0.879935
37 	46    	0.389996 	0.249306	-0.02     	0.875509
38 	48    	0.409093 	0.243847	-0.02     	0.853489
39 	48    	0.395268 	0.201758	0.0824821 	0.800248
40 	47    	0.398552 	0.241   	-0.015    	0.868448
41 	47    	0.38385  	0.229353	0.0362009 	0.868448
42 	46    	0.401324 	0.269659	-0.0171428	0.865935
43 	48    	0.337791 	0.255843	-0.0177778	0.898977
44 	43    	0.395679 	0.243075	-0.0177778	0.898977
45 	41    	0.431816 	0.270159	0.0703914 	0.898977
46 	46    	0.370178 	0.250771	0.0737615 	0.898977
47 	47    	0.401057 	0.251353	0.0865755 	0.902695
48 	45    	0.463763 	0.279679	-0.0133333	0.902695
49 	47    	0.396147 	0.287449	-0.02     	0.902727
50 	47    	0.380899 	0.261368	-0.0181818	0.902695
51 	47    	0.417786 	0.261424	-0.0150001	0.8613  
52 	49    	0.368745 	0.243596	-0.0166667	0.800173
53 	48    	0.413637 	0.245506	-0.02     	0.860096
