Argument values: path=C:\Users\1625203\Downloads\Framsticks50rc22\Framsticks50rc22, lib=None, sim=eval-allcriteria.sim;deterministic.sim;sample-period-2.sim;f9-mut-010.sim, genformat=None, initialgenotype=/*9*/BLU, opt=vertpos, popsize=50, generations=1000, tournament=10, pmut=0.9, pxov=0.2, hof_size=1, hof_savefile=None, max_numparts=30, max_numjoints=None, max_numneurons=None, max_numconnections=None, max_numgenochars=50
Using Framsticks version: 5.0rc22
Home (writable) dir     : C:\Users\1625203\Downloads\Framsticks50rc22\Framsticks50rc22\data
Resources dir           : C:\Users\1625203\Downloads\Framsticks50rc22\Framsticks50rc22\data

Available objects: ['CheckpointEvent', 'Collision', 'CrCollision', 'Creature', 'CreatureSettings', 'CreatureSignals', 'CreatureSnapshot', 'Dictionary', 'ExpProperties', 'ExpState', 'ExtValue', 'File', 'FunctionReference', 'GenMan', 'GenManStats', 'GenePool', 'GenePools', 'Geno', 'Genotype', 'Interface', 'Joint', 'Loader', 'Math', 'MechJoint', 'MechPart', 'MessageCatcher', 'Model', 'ModelGeometry', 'ModelSymmetry', 'Neuro', 'NeuroClass', 'NeuroClassLibrary', 'NeuroDef', 'NeuroSignals', 'NeuronsSimEnabled', 'ODE', 'Orient', 'Part', 'Population', 'Populations', 'Ref', 'Signal', 'SignalView', 'SimilMeasure', 'SimilMeasureDistribution', 'SimilMeasureGreedy', 'SimilMeasureHungarian', 'Simulator', 'SlaveSimulators', 'StopEvent', 'String', 'UserScripts', 'Vector', 'WireframeAppearance', 'World', 'WorldMap', 'WorldSignals', 'XYZ', '__builtins__', '__cached__', '__doc__', '__file__', '__loader__', '__name__', '__package__', '__spec__', 'c_api', 'ctypes', 'home_dir', 'init', 'os', 're', 'res_dir', 'sim_params', 'stats', 'sys']

Performing a basic test 1/2... OK.
Performing a basic test 2/2... OK.
Using settings: ['eval-allcriteria.sim', 'deterministic.sim', 'sample-period-2.sim', 'f9-mut-010.sim']
gen	nevals	avg     	stddev	min     	max     
0  	50    	0.218369	0     	0.218369	0.218369
1  	47    	0.0519373	0.114848	-0.0150001	0.514537
2  	48    	0.0721388	0.119283	-0.016    	0.51442 
3  	45    	0.134999 	0.153251	-0.0166667	0.581352
4  	45    	0.17813  	0.185872	-0.02     	0.581352
5  	48    	0.200189 	0.186459	-0.0171429	0.581279
6  	44    	0.198679 	0.21304 	-0.0166667	0.581352
7  	45    	0.237179 	0.234829	-0.0171429	0.812977
8  	48    	0.294987 	0.223753	-0.0166667	0.812977
9  	43    	0.31981  	0.242123	-0.02     	0.812977
10 	47    	0.255964 	0.228071	-0.0166668	0.812308
11 	48    	0.300451 	0.24575 	-0.0166667	0.812977
12 	44    	0.381749 	0.262368	-0.0171429	0.812977
13 	43    	0.280236 	0.255607	-0.0175   	0.812977
14 	43    	0.396859 	0.273866	-0.0175   	0.840468
15 	44    	0.337253 	0.289094	-0.0177778	0.840468
16 	48    	0.324637 	0.269041	-0.0175   	0.840468
17 	48    	0.338509 	0.24573 	-0.0177778	0.832435
18 	46    	0.395998 	0.231178	-0.0177778	0.840104
19 	41    	0.430148 	0.280179	-0.02     	0.840104
20 	45    	0.304744 	0.257765	-0.0200001	0.840104
21 	43    	0.386519 	0.24088 	-0.0199999	0.840104
22 	44    	0.396898 	0.280139	-0.0177778	0.840104
23 	42    	0.387539 	0.29577 	-0.0177778	0.840104
24 	48    	0.296486 	0.249597	-0.0177778	0.840104
25 	46    	0.351421 	0.258508	-0.0177778	0.810758
26 	41    	0.430942 	0.241409	-0.0175   	0.840104
27 	49    	0.355359 	0.244979	-0.0174999	0.832435
28 	48    	0.306191 	0.272908	-0.02     	0.840104
29 	47    	0.409926 	0.271569	-0.0175001	0.832435
30 	42    	0.376828 	0.28468 	-0.0177778	0.833493
31 	47    	0.394097 	0.286335	-0.0177778	0.840104
32 	44    	0.339858 	0.277612	-0.0177778	0.840104
33 	43    	0.411711 	0.271874	-0.0175   	0.833493
34 	47    	0.333213 	0.247596	-0.02     	0.832435
35 	42    	0.461033 	0.249926	-0.02     	0.832435
36 	45    	0.428823 	0.26026 	-0.016    	0.832435
37 	44    	0.383552 	0.274267	-0.0199999	0.840468
38 	43    	0.383604 	0.296497	-0.0200001	0.840468
39 	46    	0.435872 	0.284091	-0.0200001	0.840468
40 	48    	0.372553 	0.286018	-0.02     	0.840468
41 	45    	0.341046 	0.26526 	-0.018    	0.832435
42 	46    	0.391598 	0.277496	-0.018    	0.896324
43 	45    	0.435568 	0.279944	-0.0175   	0.904926
44 	46    	0.404442 	0.28948 	-0.016    	0.904926
45 	47    	0.537501 	0.263857	-0.0171428	0.904926
46 	49    	0.41743  	0.264092	-0.02     	0.832288
47 	44    	0.387929 	0.270536	-0.0175   	0.832288
48 	45    	0.40575  	0.26123 	-0.02     	0.832288
49 	49    	0.350003 	0.288465	-0.02     	0.904926
50 	45    	0.480651 	0.268414	-0.0174999	0.904926
51 	48    	0.485655 	0.27107 	0.0663869 	0.97164 
52 	46    	0.435979 	0.297817	-0.0171429	0.97164 
53 	41    	0.512977 	0.303587	-0.02     	0.97164 
54 	46    	0.392208 	0.279886	-0.015    	0.97164 
55 	48    	0.429008 	0.288137	-0.0171428	0.904926
56 	46    	0.518331 	0.247855	-0.0159999	0.904926
57 	46    	0.443257 	0.235497	-0.0175   	0.895011
58 	45    	0.43205  	0.258331	0.0594573 	0.904926
59 	43    	0.476513 	0.266068	-0.015    	0.904926
60 	45    	0.489483 	0.286029	0.0753395 	0.975557
61 	45    	0.516095 	0.280633	-0.016    	0.975557
62 	43    	0.493322 	0.323062	-0.0150002	0.975557
63 	41    	0.485241 	0.329951	-0.0159976	0.975557
64 	46    	0.44691  	0.30331 	-0.0177778	0.975557
65 	45    	0.465435 	0.292253	-0.018    	0.975557
66 	49    	0.436625 	0.290285	-0.0166667	0.886449
67 	41    	0.530018 	0.302454	-0.016    	0.907934
68 	47    	0.3979   	0.254647	-0.0177778	0.938948
69 	46    	0.384683 	0.267308	-0.02     	0.938948
70 	43    	0.405808 	0.286112	-0.02     	0.938948
71 	48    	0.420519 	0.275077	-0.016    	0.938948
72 	49    	0.395722 	0.266217	-0.0133333	0.857145
73 	48    	0.477676 	0.261952	0.0489253 	0.9902  
74 	48    	0.426138 	0.2717  	0.117902  	0.9902  
75 	44    	0.36818  	0.304039	-0.0183333	0.9902  
76 	46    	0.39557  	0.257312	-0.016    	0.9902  
77 	46    	0.477519 	0.238978	0.100792  	0.9902  
78 	43    	0.401409 	0.27991 	-0.016    	0.9902  
79 	44    	0.398732 	0.266622	0.0853802 	0.9902  
80 	47    	0.415857 	0.260054	-0.016    	0.9902  
81 	46    	0.46532  	0.257467	-0.0171429	0.915134
82 	47    	0.403107 	0.242714	0.121059  	0.915134
83 	49    	0.30787  	0.200511	-0.0175   	0.817543
84 	48    	0.381548 	0.192629	0.0940553 	0.918007
85 	47    	0.36572  	0.182948	-0.0166667	0.771485
86 	45    	0.433798 	0.216175	-0.0175001	0.918884
87 	46    	0.428865 	0.238888	-0.0171429	1.01657 
88 	47    	0.352069 	0.231563	-0.0171429	0.899861
89 	46    	0.400165 	0.219955	-0.0133333	0.899861
90 	43    	0.42658  	0.26483 	-0.01     	0.899861
91 	48    	0.37802  	0.214613	0.0887322 	0.899861
92 	45    	0.453274 	0.247427	0.0817371 	0.904159
93 	48    	0.372401 	0.209673	0.116363  	0.904159
94 	45    	0.382108 	0.241142	-0.016    	0.904159
95 	44    	0.40828  	0.265506	-0.016    	0.903849
96 	48    	0.397399 	0.232278	-0.016    	0.842557
97 	45    	0.40435  	0.212631	0.0783446 	0.847332
98 	46    	0.409883 	0.250992	-0.02     	0.918999
99 	48    	0.399327 	0.22837 	-0.0133333	0.842766
100	43    	0.39866  	0.242158	-0.0133333	0.842766
101	46    	0.406898 	0.247464	-0.02     	0.921906
102	47    	0.387038 	0.272146	-0.0171429	1.01741 
103	49    	0.469383 	0.222057	0.172446  	0.995166
104	46    	0.447841 	0.279532	0.10638   	0.995166
105	45    	0.459653 	0.270575	0.136106  	0.995166
106	43    	0.437832 	0.234988	0.124394  	0.995166
107	45    	0.418228 	0.238904	-0.0160002	0.995166
108	49    	0.353038 	0.208966	0.0993043 	0.995166
